2theta,Intensity
0.0,11508759.7119331
0.05,13749064.819909478
0.1,14775751.47170406
0.15,15495750.494185869
0.2,16269685.09440595
0.25,17103079.75600018
0.3,18002184.78401536
0.35,18974093.8088691
0.4,20026884.09542908
0.45,21169784.85882298
0.5,22413380.162221782
0.55,23797142.351303246
0.6,25412286.81926993
0.65,27464407.195061266
0.7,29882807.285565853
0.75,32908035.189864736
0.8,36489849.31221006
0.85,40466753.812146805
0.9,44954884.491509095
0.95,50019388.02848866
1.0,55478365.1907847
1.05,61170165.42925084
1.1,67261045.00549352
1.15,73514905.11624369
1.2,80659415.11608212
1.25,88661673.51354273
1.3,97591788.25600654
1.35,107903849.58316042
1.4,119943185.8595834
1.45,134243782.13143393
1.5,151431619.47417444
1.55,172366298.03681692
1.6,198257868.6349278
1.65,230857852.14783958
1.7,272974381.28574157
1.75,328350569.3911787
1.8,403380176.99007785
1.85,509037095.18552727
1.9,665023803.590403
1.95,912664691.8525342
2.0,1387330928.5894058
2.05,2722088290.424762
2.1,7038692383.136479
2.15,16866482211.569376
2.2,27256429857.98362
2.25,25896604398.231766
2.3,17436873362.41188
2.35,10579157562.229307
2.4,6678595581.795648
2.45,5222273970.57361
2.5,4818226262.389708
2.55,4785395867.011166
2.6,4924740730.511361
2.65,5172445242.235126
2.7,5544690975.726973
2.75,6092377468.528663
2.8,7004165202.14721
2.85,8463826764.755087
2.9,10488712699.835924
2.95,12869942389.750023
3.0,15448946425.69036
3.05,17871051252.357212
3.1,19784960299.990196
3.15,21298738485.92825
3.2,22090504507.267902
3.25,21981339681.108673
3.3,21161432076.228607
3.35,20037736517.36987
3.4,19087330620.516075
3.45,18713881881.071484
3.5,18658086451.82119
3.55,18885741987.266464
3.6,19660020524.384556
3.65,21067689983.70409
3.7,23096897552.51738
3.75,25702018763.781513
3.8,28912028820.995434
3.85,32902958797.249615
3.9,37952497683.74547
3.95,44178906773.78274
4.0,51561447133.96064
4.05,60812928763.55218
4.1,73215485516.62512
4.15,90317034284.52365
4.2,114558172115.64175
4.25,150254520319.54547
4.3,205811043467.22742
4.35,304010211046.12683
4.4,550406514975.2861
4.45,1379305480998.9253
4.5,3565229210037.2764
4.55,6486248628905.256
4.6,6751960182085.369
4.65,4289971828024.9185
4.7,2051161500185.6592
4.75,990681669750.291
4.8,675416941415.1663
4.85,650006008499.252
4.9,689786773887.624
4.95,703172114016.2854
5.0,662880378253.0626
5.05,606598310259.4199
5.1,567198754288.6233
5.15,546734547787.6992
5.2,512147591540.3671
5.25,429823254316.53815
5.3,318835157335.36285
5.35,226157248799.30203
5.4,167210338226.16483
5.45,131650907148.47614
5.5,103459058681.33475
5.55,80058557182.50865
5.6,64327165136.21623
5.65,56258307672.481636
5.7,54903287037.388115
5.75,59975191356.655815
5.8,67500461201.59068
5.85,73886084525.22923
5.9,82764598308.13222
5.95,98747046447.27101
6.0,119333792828.02437
6.05,137864463186.30975
6.1,155847162125.16733
6.15,173323253719.10443
6.2,184307560897.894
6.25,190924999871.27875
6.3,197349258303.54483
6.35,195224945507.10327
6.4,182529615339.3198
6.45,174913729986.9985
6.5,172909666140.49142
6.55,165467524782.9092
6.6,151251708041.48407
6.65,136464983386.98767
6.7,122589082968.23209
6.75,105481481500.61522
6.8,86603507959.27182
6.85,74239259851.6976
6.9,65064815113.77306
6.95,53488314903.61398
7.0,43051448984.28046
7.05,35846088892.05399
7.1,30517145139.32789
7.15,26956705272.745075
7.2,23683253080.314777
7.25,20604224585.77622
7.3,19224313932.981476
7.35,19395945252.891148
7.4,19890015411.741737
7.45,20987478832.963314
7.5,23289959420.6156
