2theta,Intensity
0.0,7492172.18417527
0.05,7835185.84470968
0.1,9420020.4491169
0.15,9869919.39741186
0.2,10352827.74642934
0.25,10872054.6382039
0.3,11431334.40136033
0.35,12034893.81378033
0.4,12687532.11059587
0.45,13394716.57318474
0.5,14162697.26458462
0.55,14998645.42117898
0.6,15910821.24119372
0.65,16908778.42583835
0.7,18003614.96522999
0.75,19208282.50944481
0.8,20537970.49491566
0.85,22010586.39310772
0.9,27500599.9048443
0.95,29505378.60620061
1.0,32246288.56184056
1.05,34777530.71351905
1.1,43539605.23818547
1.15,47034399.18215404
1.2,50993076.77612633
1.25,55504690.47284352
1.3,60681207.84308721
1.35,66665050.93910973
1.4,73639711.48555967
1.45,81844966.2555724
1.5,91599121.94360356
1.55,103332261.20302217
1.6,117637170.51047572
1.65,139548457.50426054
1.7,162069447.90284172
1.75,191022390.6924703
1.8,229189544.14725745
1.85,281044051.4568206
1.9,354139672.6540068
1.95,462031583.68131256
2.0,631781167.1816167
2.05,942617723.0643877
2.1,1801698277.5624828
2.15,4865571127.974433
2.2,12476954614.391014
2.25,24868453741.56337
2.3,21773901732.106033
2.35,14021295090.586765
2.4,8908804626.211256
2.45,6980095563.361842
2.5,6532390094.178177
2.55,6557954493.236521
2.6,6740701996.259269
2.65,7008215121.622776
2.7,7364274042.991595
2.75,7759224273.005326
2.8,8239124824.730656
2.85,8783052416.704779
2.9,9420403643.474329
2.95,10285479742.730194
3.0,11809933956.458773
3.05,15191174761.744041
3.1,20495811300.288616
3.15,22703560071.067913
3.2,20690675384.05024
3.25,20879252520.686066
3.3,25965875846.232197
3.35,32528415110.87852
3.4,30860069901.300304
3.45,25890210679.778458
3.5,24428596711.544815
3.55,25740735898.341515
3.6,28200584518.140602
3.65,31348279206.644707
3.7,35241754972.1618
3.75,40228922795.33309
3.8,47409540595.00425
3.85,58334182614.00247
3.9,70996001828.07082
3.95,79448199148.89395
4.0,89067613519.9483
4.05,105806759314.4251
4.1,131084735153.87778
4.15,167753921741.39188
4.2,222588233566.63452
4.25,309309416013.52155
4.3,466425255483.01556
4.35,888308770102.6833
4.4,2419582208825.6865
4.45,6461152986595.32
4.5,11133468899336.373
4.55,9293443728698.309
4.6,4214528018278.7
4.65,1466554908639.9375
4.7,630966678231.04
4.75,384259813882.2066
4.8,273600940826.6941
4.85,218901409423.91995
4.9,202290191641.59476
4.95,193769523215.52917
5.0,176564810677.68808
5.05,172570147557.53162
5.1,156790427537.33502
5.15,148185031507.12204
5.2,166969153741.80658
5.25,148944282546.53296
5.3,93962523407.78879
5.35,57732989193.8805
5.4,42514990400.95782
5.45,35868127394.76173
5.5,32020887804.750614
5.55,29503048822.823986
5.6,27706215996.38603
5.65,26491077475.15703
5.7,25956569101.331554
5.75,26529745259.33974
5.8,28686181826.506256
5.85,31417713950.352898
5.9,33714371641.752007
5.95,37447752897.38189
6.0,41019423436.287796
6.05,47281699756.33011
6.1,68392335389.177444
6.15,143005163361.87796
6.2,335706631225.9625
6.25,574027897270.8684
6.3,547155675254.40576
6.35,369180024492.32513
6.4,398568972373.3653
6.45,634172003345.8815
6.5,746190261320.0511
6.55,567876845546.7756
6.6,394938258992.2104
6.65,526285686378.19543
6.7,792165514154.9437
6.75,682060025068.7991
6.8,336992716114.4691
6.85,129592131564.11035
6.9,60293023538.202965
6.95,39299478638.34022
7.0,29889838881.255558
7.05,23667851469.546204
7.1,19400860079.845764
7.15,16996978302.934927
7.2,15659097819.195816
7.25,14768668216.423021
7.3,14766170192.548044
7.35,15355999912.491737
7.4,15601338375.860607
7.45,15486083362.714064
7.5,16053316097.315983
7.55,17279604822.952408
7.6,20933552094.240105
7.65,32415948733.939495
7.7,75100863369.17851
7.75,196477814134.51163
7.8,362213185258.96564
7.85,342725023007.4777
7.9,176368825097.58463
7.95,77500396948.1908
8.0,56729490896.136665
8.05,59730942207.44825
8.1,50863715638.379
8.15,36940254336.00029
8.2,36136350361.51992
8.25,42517185663.21645
8.3,43938619891.02943
8.35,35774363518.614006
8.4,23626743785.32286
8.45,16718633244.57856
8.5,16699360670.353546
8.55,21416076813.98999
8.6,24595561503.20371
8.65,25733150766.30195
8.7,38228621522.13749
8.75,70591336054.97647
8.8,101707117784.94061
8.85,120713367805.45947
8.9,174148589335.06543
8.95,237800420801.73694
9.0,273957748914.6327
9.05,241488860498.06787
9.1,149126082845.00858
9.15,111656424527.3991
9.2,150276611902.18683
9.25,197800688682.1449
9.3,191543625467.64932
9.35,148667897511.4766
9.4,147171358363.115
9.45,153287568119.96387
9.5,104497626211.7651
9.55,54478190050.43875
9.6,30930102436.045612
9.65,23816941487.183918
9.7,25099835441.469616
9.75,39650525259.74139
9.8,87055668331.0322
9.85,166900388392.05307
9.9,191441322286.7259
9.95,128548072491.17938
10.0,93230120945.42436
10.05,136133129214.62975
10.1,218341268963.86798
10.15,245741235331.99106
10.2,208740331959.84525
10.25,135451778034.84662
10.3,98729463278.17421
10.35,122225917626.76886
10.4,196585357559.26566
10.45,263631532397.6811
10.5,217766809728.53857
10.55,115065946326.89854
10.6,63180065255.29739
10.65,52759594228.3998
10.7,40007657792.795334
10.75,23619733596.16787
10.8,14999674150.206877
10.85,13231842102.266077
10.9,15308462520.332565
10.95,19066274619.35483
11.0,24351847386.8636
11.05,25600786370.824547
11.1,18495509537.874817
11.15,10965791698.209606
11.2,7780502891.955014
11.25,8042966780.849146
11.3,11146552859.97251
11.35,16153997007.006516
11.4,16302469921.322533
11.45,10863306109.957088
11.5,7072324024.133302
11.55,6092348206.105702
11.6,8291762154.048358
11.65,14554363344.650946
11.7,21613942377.102127
11.75,22614833925.44362
11.8,22572101416.3047
11.85,24845895499.656685
11.9,33088295574.362118
11.95,42469774634.62061
12.0,40587400320.07864
12.05,27969779823.37387
12.1,18621398882.492912
12.15,16657775041.131975
12.2,19663010349.56243
12.25,22130725077.658623
12.3,24678036414.329998
12.35,31748176709.257294
12.4,44614765928.07602
12.45,68938290020.404
12.5,101186293786.27304
12.55,113688571560.0352
12.6,111229019281.5524
12.65,102996725371.60957
12.7,88039885371.27495
