2theta,Intensity
0.0,19386551.610730655
0.05,24814239.652343083
0.1,26348024.441084526
0.15,27662119.46903055
0.2,29077208.44257738
0.25,30603931.21050137
0.3,32254369.298062433
0.35,34042287.30241319
0.4,35983422.891414195
0.45,38269576.6626252
0.5,41048989.16972455
0.55,44255282.4701346
0.6,47951267.8165676
0.65,52820386.69152666
0.7,59327215.45915204
0.75,67235446.60436043
0.8,75180548.84442022
0.85,84316422.72887917
0.9,94790144.93281952
0.95,104723291.10612142
1.0,114927826.48918745
1.05,125685615.08041331
1.1,136927099.5861542
1.15,149343536.3419487
1.2,163384630.5597856
1.25,179303766.0542403
1.3,197745458.5046309
1.35,219427736.95184243
1.4,245209184.04964527
1.45,276253947.41809374
1.5,314186206.7763355
1.55,361332008.3640134
1.6,421125747.1723814
1.65,500205169.3827481
1.7,605842407.9347963
1.75,750691618.6079624
1.8,961440500.318112
1.85,1294649669.7387645
1.9,1960860535.4149837
1.95,3966085837.2558823
2.0,10062895684.0998
2.05,21221891273.556282
2.1,27209063944.874172
2.15,22066866705.45813
2.2,22616551475.862495
2.25,32291203233.94865
2.3,31419546411.238453
2.35,18622196903.493153
2.4,10247357759.581707
2.45,7429320862.442111
2.5,6891584918.814125
2.55,7055640957.0719385
2.6,7601639576.351232
2.65,8684888647.679111
2.7,10476767453.424936
2.75,12995336796.48449
2.8,16157451178.724773
2.85,20516405089.301228
2.9,26607275294.87829
2.95,33194718595.569168
3.0,38189745814.91563
3.05,40932956639.116554
3.1,42615240725.77475
3.15,42085092034.559
3.2,38473982876.12603
3.25,34057331762.260933
3.3,30222400800.78894
3.35,27228252784.38353
3.4,25658285854.35222
3.45,25290479302.484417
3.5,25739013715.3664
3.55,27043599382.731525
3.6,29195336129.28315
3.65,32054272849.419895
3.7,35589005141.39651
3.75,39973858508.97103
3.8,45816528995.97132
3.85,54250755313.111786
3.9,65051991568.33623
3.95,74717549270.31691
4.0,84231420892.01468
4.05,98773743378.05157
4.1,121345539821.38113
4.15,153513470948.08295
4.2,197465905280.94186
4.25,261157377360.6271
4.3,367799032162.5813
4.35,614005430187.6011
4.4,1442082554452.2563
4.45,3844828381985.3237
4.5,7613131246097.289
4.55,8578901783041.597
4.6,5687241594127.931
4.65,2982564444192.4575
4.7,1788792067696.4526
4.75,1573618002763.147
4.8,1720917241700.201
4.85,1886303816795.657
4.9,1945476486039.4824
4.95,1898648733947.1396
5.0,1837159939437.8955
5.05,1751140468687.4436
5.1,1591606276282.9866
5.15,1376192121863.325
5.2,1144485702637.554
5.25,886878490811.3599
5.3,641404897808.8944
5.35,466751352338.63116
5.4,357799621708.1025
5.45,278361894687.5129
5.5,216522843281.50037
5.55,167989883783.65317
5.6,134317492210.80061
5.65,115994391852.44147
5.7,113136003081.50539
5.75,124473397843.30305
5.8,141249012173.132
5.85,154768800444.15164
5.9,162636492891.25693
5.95,168974976529.61688
6.0,170495492753.9824
6.05,161354564462.79047
6.1,149251435278.10654
6.15,142013663277.7559
6.2,139682787296.20255
6.25,136279517012.44699
6.3,128082821265.6769
6.35,115770641963.86835
6.4,103090512261.05183
6.45,90759571487.99704
6.5,78815103007.48654
6.55,67362732902.973145
6.6,55664067885.59129
6.65,44964175434.85422
6.7,36975310270.922
6.75,31173335565.64709
6.8,27923526809.833458
6.85,26139793750.16065
6.9,24730690579.552586
6.95,23254044265.593857
7.0,21903362162.740635
7.05,21323436715.815327
7.1,21746269836.59456
7.15,23113151539.61747
7.2,25040089362.231255
7.25,27143516062.686115
7.3,29495937481.10796
7.35,32085893842.393124
7.4,34024514197.459282
7.45,34894917482.170616
7.5,35947947134.54539
7.55,37715118619.56417
7.6,40346003485.910995
7.65,46542115471.83966
7.7,65345591899.754585
7.75,120654472311.69969
7.8,229645565373.40173
7.85,333928585004.2591
7.9,364612100957.2424
7.95,353224124099.6803
8.0,335063398801.161
8.05,318721298748.64014
8.1,305018524789.9582
8.15,290193436987.78644
8.2,267042254951.39523
8.25,240373942514.18726
8.3,214802904127.4809
8.35,187144195122.91403
8.4,159939360271.95914
8.45,139991321017.36923
8.5,125960868672.8876
8.55,116271904289.69774
8.6,108772967535.81157
8.65,101413546322.1744
8.7,96105910218.75551
8.75,92140499125.9039
8.8,88156879464.59917
8.85,85704163538.14284
8.9,89732178371.3425
8.95,111548008594.11752
9.0,165570280914.52377
9.05,234613009233.53952
9.1,274256274227.46863
9.15,280176016366.45087
9.2,270960244905.14865
9.25,256157248980.9683
9.3,242652080343.18893
9.35,230028916502.16348
9.4,217000248446.96707
9.45,201497915133.0882
9.5,187170838642.24292
9.55,174141818440.89368
9.6,158040506708.44226
9.65,140356744787.25204
9.7,126065488839.24973
9.75,118456659787.43303
9.8,114185384050.167
9.85,107441032928.04861
9.9,98619877239.04008
9.95,91227853525.65015
10.0,86595494531.67421
10.05,82984252849.17549
10.1,78469610815.33269
10.15,72776449472.4801
10.2,66255397765.53923
10.25,60689589690.12199
10.3,58769204591.87539
10.35,59528424836.297714
10.4,59797181029.95624
10.45,57425241616.13609
10.5,52783772381.68357
10.55,47548978920.39449
10.6,43215484369.593834
10.65,39988580135.340515
10.7,37896266755.36999
10.75,36832240413.494
10.8,35248951079.1269
10.85,33086781453.10878
10.9,31252711945.004314
10.95,30293694716.631847
11.0,30079015583.692192
11.05,29774757419.504776
11.1,28969491264.550823
11.15,28261336682.294464
11.2,27751961672.017292
11.25,27224767495.01016
11.3,26456786515.107025
11.35,25365209801.0484
11.4,24634229589.37666
11.45,24305919480.530193
11.5,23960673230.459095
11.55,23612299641.16785
11.6,23559494147.83732
11.65,23684866833.31642
11.7,24156269549.93717
11.75,25127146091.285515
11.8,27611494989.07251
11.85,36327056824.27199
11.9,59905125653.01292
11.95,98343819348.90381
12.0,126663552941.59903
12.05,127084877151.89912
12.1,114101909655.05423
12.15,104244570956.70232
12.2,100265474990.83432
12.25,97479242586.46346
12.3,94243657294.27658
12.35,91425410408.87209
12.4,89158490946.68913
12.45,87826474547.4779
12.5,86294952681.49982
12.55,83106051237.06706
12.6,79403675036.15561
12.65,75655372449.21442
12.7,72514487164.28337
12.75,71233998971.54932
12.8,70749084487.90836
12.85,69485818574.38332
12.9,67445549891.624084
12.95,65160440061.47998
13.0,62672855696.50579
13.05,59775584979.4051
13.1,56159658381.7938
13.15,52901218095.662056
13.2,50502408989.5763
13.25,48117012324.935394
13.3,45088304241.48829
13.35,41693727195.82406
13.4,38998298018.7153
13.45,36848821868.08404
13.5,35201219626.19615
13.55,34567372653.387955
13.6,34593006263.30647
13.65,34634295051.89642
13.7,34794305028.647644
13.75,35002880604.11293
13.8,34345600562.31227
13.85,32529827733.133453
13.9,30373496747.68662
13.95,28604296851.658436
14.0,27465053622.53583
14.05,26576539523.589535
14.1,25651769146.418873
14.15,24812698348.72521
14.2,23937321337.619465
14.25,22951029372.85022
14.3,22135513495.130413
14.35,21347576890.031193
14.4,20522090551.45148
14.45,19927281920.382156
14.5,19431388506.816082
14.55,18897014976.32911
14.6,18499674214.586468
14.65,18268394039.96874
14.7,18209603011.369026
14.75,18505095989.489956
14.8,18900643416.445633
14.85,19192512699.176075
14.9,19082541102.280224
14.95,18685518562.836964
15.0,18229056676.47076
15.05,17843236019.945747
15.1,17669829923.510876
15.15,17636490299.64646
15.2,17575767194.982227
15.25,17404228379.165718
15.3,17022534567.188074
15.35,16483415596.424303
15.4,16027321705.93475
15.45,15842405721.325037
15.5,16072609871.575382
15.55,17348341834.897335
15.6,20776998719.75582
15.65,26974724291.921124
15.7,33023535487.660477
15.75,34271587602.75939
15.8,31596868607.38851
15.85,28835777382.54021
15.9,27143307226.211132
15.95,25776314801.0984
16.0,24626606830.350185
16.05,23978689470.98668
16.1,23466679389.893185
16.15,22830296051.040108
16.2,22451114277.162106
16.25,22850287914.363823
16.3,23896998621.851902
16.35,24996250912.162136
16.4,25018959347.53688
16.45,24182178634.812088
16.5,23348756349.828236
16.55,22843107171.041172
16.6,22628612392.856544
16.65,22414791933.27098
16.7,22089068374.630367
16.75,21721860344.2083
16.8,21320590719.74803
16.85,20944321078.482513
16.9,20663763052.322803
16.95,20614101187.691116
17.0,20633711249.153008
17.05,20448012089.334347
17.1,20138532934.611313
17.15,19849454662.809357
17.2,19434846960.82
17.25,18971008624.249435
17.3,18452006086.401913
17.35,17927007983.96295
17.4,17533571197.389465
17.45,17268418862.748867
17.5,17034240586.932701
17.55,16846278134.720121
17.6,16762526223.910217
17.65,16810251682.792429
17.7,16971251076.056105
17.75,16953384700.669378
17.8,16690558671.02397
17.85,16289535985.08299
17.9,15942680629.640043
17.95,15945100991.64169
18.0,16221192246.843086
18.05,16434451492.953863
18.1,16524434635.570435
18.15,16412186557.78791
18.2,16065767070.70931
18.25,15711123714.760494
18.3,15534299733.295116
18.35,15345199984.438854
18.4,15256233127.877842
18.45,15272767650.66758
18.5,15349201683.484636
18.55,15521126449.101454
18.6,15629307145.563797
18.65,15605679291.853344
18.7,15457815599.85536
18.75,15328906562.714338
18.8,15333996113.290022
18.85,15531596442.55615
18.9,15793469174.641193
18.95,15980374424.968393
19.0,16060686364.088923
19.05,16123145372.374218
19.1,16150134946.163902
19.15,16036992762.929007
19.2,15900592883.250786
19.25,15980884943.702724
19.3,16328029063.27186
19.35,16731216851.541222
19.4,16906959354.79513
19.45,16875568693.13232
19.5,16632980119.570082
19.55,16338820699.269115
19.6,16290301610.58764
19.65,16543212891.80178
19.7,16986987822.383022
19.75,17411776420.706318
19.8,17664608677.682007
19.85,17618861088.999943
19.9,17263468623.09692
19.95,16762211676.465328
20.0,16257157737.624535
20.05,15894723397.27308
20.1,15728836396.866123
20.15,15846801918.602621
20.2,15985680181.43471
20.25,15889658007.115597
20.3,15711706049.408007
20.35,15628585452.910229
20.4,15647709132.90384
20.45,15760625513.029387
20.5,15956704629.433334
20.55,16117464949.821165
20.6,16241092469.966946
20.65,16563498217.83709
20.7,17421581353.382
20.75,19023515759.50023
20.8,20870487291.81022
20.85,22047877549.37993
20.9,22503758168.57938
20.95,22605041739.049156
21.0,22609408311.255997
21.05,22722673879.871407
21.1,22865189923.65282
21.15,23020211864.303707
21.2,23150699637.166615
21.25,23239435075.242764
21.3,23217919774.510757
21.35,23219400691.45928
21.4,23371874650.41902
21.45,23568643518.21609
21.5,23940739011.01201
21.55,24604325840.073616
21.6,25300361645.05798
21.65,25858244390.550556
21.7,26325939314.107067
21.75,26609356558.799088
21.8,26746901477.585606
21.85,26935569522.496655
21.9,27239792707.631104
21.95,27295871264.461765
22.0,27168902076.14038
22.05,27073458162.03336
22.1,26960635345.061787
22.15,26868488501.721416
22.2,26905396716.13815
