2theta,Intensity
0.0,12258789.578655927
0.05,15249985.937397428
0.1,19231955.959013812
0.15,23079472.786566034
0.2,25263723.253015127
0.25,26688489.70723415
0.3,28634331.99206258
0.35,30895196.093138117
0.4,33602756.30501006
0.45,36279721.332302995
0.5,38746358.480525315
0.55,41561342.455464534
0.6,44674814.2566729
0.65,47816325.676431865
0.7,51607910.702020615
0.75,56164609.82213729
0.8,61261216.1861014
0.85,66924894.76635374
0.9,73312042.47231385
0.95,80615863.7095608
1.0,88005883.33206402
1.05,95326829.92531577
1.1,103435072.7856159
1.15,112653798.11443715
1.2,122961045.6747426
1.25,134711646.37613472
1.3,148271861.63536796
1.35,164096472.64762673
1.4,182700319.36758342
1.45,204740583.33137068
1.5,231174526.40510446
1.55,263295748.95112133
1.6,303006243.7708658
1.65,354807304.7265848
1.7,420481585.3801507
1.75,506915502.19910806
1.8,625103231.3609917
1.85,793737259.3726662
1.9,1051903365.7528327
1.95,1531734910.2924962
2.0,2853599361.6512036
2.05,6837340054.796976
2.1,14697291968.68362
2.15,21232288979.651928
2.2,22661472538.534607
2.25,26982679380.892853
2.3,27990457271.85998
2.35,26524310384.94948
2.4,22384170544.0774
2.45,16336485397.550903
2.5,12586459562.24107
2.55,12328969558.230864
2.6,13542144615.191685
2.65,14455261421.200945
2.7,14319297204.580057
2.75,13991117264.448263
2.8,14345806314.174469
2.85,15061500730.39558
2.9,16286632823.474428
2.95,18470246832.915306
3.0,21101478878.18887
3.05,23420269549.29776
3.1,25258117468.50623
3.15,26822985728.2992
3.2,27201889611.41458
3.25,25653072000.17894
3.3,23723948400.74913
3.35,23134658272.65838
3.4,23740151508.678017
3.45,24875687279.64858
3.5,26491362590.64634
3.55,28705764819.93968
3.6,31495663287.40009
3.65,34707704090.81797
3.7,38369885726.4058
3.75,42837086900.994125
3.8,48908144114.54362
3.85,57577362660.00707
3.9,68192991737.160645
3.95,78453070194.83553
4.0,89653758340.26134
4.05,104155839836.21826
4.1,124005167766.29745
4.15,152508146105.63907
4.2,195248202946.99387
4.25,261306183945.00507
4.3,375693421276.0206
4.35,674123408930.0251
4.4,1654178412402.7922
4.45,3938036879394.7173
4.5,6353466885409.726
4.55,6209258183620.202
4.6,4779262329628.238
4.65,4011210279341.9116
4.7,3982071979772.695
4.75,4018077820881.9233
4.8,3758667484145.412
4.85,3237711447832.5767
4.9,2583151086340.567
4.95,2017048412445.9363
5.0,1669421249161.1128
5.05,1491330527900.5356
5.1,1345563988389.2278
5.15,1114046398903.4065
5.2,811830054586.6954
5.25,557186480855.6858
5.3,417458562803.70825
5.35,354355636742.0489
5.4,310398314674.7072
5.45,267005820088.5804
5.5,227154207786.42004
5.55,201796411680.54633
5.6,196191300805.4271
5.65,192527788046.6792
5.7,181963588159.26602
5.75,175122892973.0733
5.8,179072945022.60202
5.85,195773019519.745
5.9,220326719763.89453
5.95,231985986842.02
6.0,220318749382.73016
6.05,197737204318.72687
6.1,168919286952.24472
6.15,138687277829.62082
6.2,115690183368.60823
6.25,101978430504.79135
6.3,93824214752.11879
6.35,88047339998.46693
6.4,82677399964.08092
6.45,75159884285.26033
6.5,64515431040.83136
6.55,53620634025.10993
6.6,44937392603.667206
6.65,39798171692.393936
6.7,37295831044.75874
6.75,33649459472.109146
6.8,30694409522.630383
6.85,27750171758.361465
6.9,26528318050.19059
6.95,26537854366.503323
7.0,26462003108.898693
7.05,26362268216.10225
7.1,27086293383.18696
7.15,28311107191.84329
7.2,28742515568.542835
7.25,28081083177.0601
7.3,27321394638.85727
7.35,27409991619.689827
7.4,28762984121.634583
7.45,31567474722.96789
7.5,35551316277.51411
7.55,39939099380.42444
7.6,47068479385.51368
7.65,64326989128.86948
7.7,112783951544.4387
7.75,214222695709.4651
7.8,325512792083.37714
7.85,370425295025.6475
7.9,362440810925.6266
7.95,334644181893.05225
8.0,309047386083.1132
8.05,300304577114.1942
8.1,298600165895.79034
8.15,297741225052.83105
8.2,289458831952.0997
8.25,267642661019.99817
8.3,245034679761.0939
8.35,228875162714.60434
8.4,208113464687.64545
8.45,181869559915.41116
8.5,162946126978.11298
8.55,153230003281.97995
8.6,143365081294.49026
8.65,130233081110.189
8.7,117568625517.35768
8.75,111844583835.9759
8.8,116447667738.46732
8.85,126637887671.55208
8.9,140763022531.22467
8.95,174808087694.42368
9.0,226130963192.55685
9.05,257932517170.46625
9.1,260312577137.99545
9.15,245147718062.442
9.2,226882628294.44
9.25,216240572068.5108
9.3,213414190472.6602
9.35,216936027274.87903
9.4,219668606591.63605
9.45,210872244950.1708
9.5,187362080720.99484
9.55,158939907454.1407
9.6,140213316792.9677
9.65,130849351796.24632
9.7,123759731872.73708
9.75,116313837513.6715
9.8,105864442545.14062
9.85,95916769259.90115
9.9,88006695991.45085
9.95,81490068043.71002
10.0,76544315128.86357
10.05,74276546719.92657
10.1,73173032842.07898
10.15,71503468201.78479
10.2,69530999978.51746
10.25,68156131275.435394
10.3,66607243719.28891
10.35,63888789723.19863
10.4,59452992453.62099
10.45,54436270612.62066
10.5,52197056921.178406
10.55,53136470815.2703
10.6,53095275371.4261
10.65,49804284726.920815
10.7,46533542854.85658
10.75,43483635214.19728
10.8,39241634535.0407
10.85,34177589967.507652
10.9,29429427650.632557
10.95,25552363022.951923
11.0,23023225172.672234
11.05,21277808680.452778
11.1,20224219797.684284
11.15,19717881438.936756
11.2,19393095833.905655
11.25,18998710003.984764
11.3,18470060540.939137
11.35,17956985798.13626
11.4,17595055061.715164
11.45,17269884489.50528
11.5,16951497247.647823
11.55,16854457732.594034
11.6,17051098142.752514
11.65,17591259827.22865
11.7,18990418358.574097
11.75,23161618528.163055
11.8,36103303803.849884
11.85,66044867383.54808
11.9,106725183129.04051
11.95,129980495387.81113
12.0,124415087528.92743
12.05,106568766129.86667
12.1,91371160549.04063
12.15,83194297927.29353
12.2,81174967920.29674
12.25,82244770775.66971
12.3,83092046701.92496
12.35,82475515361.64917
12.4,79623105269.64107
12.45,75396765174.55775
12.5,72003032461.50064
12.55,70918302199.11592
12.6,71285281010.73685
12.65,72715433891.58855
12.7,75450192969.97629
12.75,77512428599.39766
12.8,76530535973.08192
12.85,73752051266.10384
12.9,70481799354.1335
12.95,65756139488.01068
13.0,60646166320.56652
13.05,56943526042.75248
13.1,52932923389.28479
13.15,48114577076.001724
13.2,43884933823.36059
13.25,40832275630.52147
13.3,39348861985.3959
