2theta,Intensity
0.0,10468797.924943116
0.05,13229502.054160174
0.1,14335009.51299538
0.15,15218315.243661733
0.2,16070389.505018355
0.25,16937413.572116315
0.3,18118952.266217448
0.35,19245414.388104692
0.4,20674761.165773135
0.45,22174505.865457952
0.5,24010687.340993352
0.55,25975114.453834705
0.6,28593238.01111788
0.65,31490424.52500653
0.7,34823745.987844326
0.75,39354205.539250486
0.8,43955854.5057716
0.85,48476061.73341411
0.9,53799674.381301194
0.95,59713233.90801334
1.0,66010560.94147413
1.05,72875574.81751835
1.1,79859665.05028497
1.15,87204639.11082661
1.2,95469056.2713686
1.25,104657152.12565565
1.3,115022640.54134144
1.35,127004100.62788142
1.4,141141056.11455998
1.45,157806580.38570994
1.5,177856336.31982464
1.55,202356839.09066263
1.6,232928436.19410777
1.65,272430697.01595986
1.7,325189588.9085348
1.75,393678735.189785
1.8,488494003.7724252
1.85,626604714.998119
1.9,844316879.106266
1.95,1272399865.6565583
2.0,2538648518.266193
2.05,6452367949.940755
2.1,14044885545.05114
2.15,19485272623.499153
2.2,18104757698.956104
2.25,17440685002.340893
2.3,16557392978.175526
2.35,11467932455.620459
2.4,7824769956.734738
2.45,6410015158.720648
2.5,6379119158.841107
2.55,6987727055.699669
2.6,7739252920.571847
2.65,8731248333.348225
2.7,9889093117.781134
2.75,11409729549.2582
2.8,13353942001.887516
2.85,15682038044.591185
2.9,18342978106.059612
2.95,21392448259.87711
3.0,23946035589.66066
3.05,24951358697.578903
3.1,25460489974.497314
3.15,26471683821.12193
3.2,27363187644.361683
3.25,27559819475.61862
3.3,26762591820.78365
3.35,25120191455.169308
3.4,23801594350.533443
3.45,23415764986.148796
3.5,23609371666.126778
3.55,24293180416.90528
3.6,25669274504.943657
3.65,27690301044.164005
3.7,30220312067.793762
3.75,33538950067.031376
3.8,38197371104.410416
3.85,45152754231.56383
3.9,54692067180.88624
3.95,63843373033.35927
4.0,71359824647.73033
4.05,81133886901.10078
4.1,96074633978.8414
4.15,118317500761.38867
4.2,151319836040.24292
4.25,200436047566.14938
4.3,277748829909.27704
4.35,438020723801.49445
4.4,948215253098.6315
4.45,2519024363066.755
4.5,5397156350225.716
4.55,7022254151921.742
4.6,5527934012157.246
4.65,3416991344705.6694
4.7,2116443578798.732
4.75,1563999875085.8748
4.8,1459208964358.0945
4.85,1598625709485.5315
4.9,1732096145029.2317
4.95,1666219145124.151
5.0,1524721402965.2542
5.05,1420272492472.6492
5.1,1327865995681.1045
5.15,1186015142837.6223
5.2,994523020515.5056
5.25,778076269519.1157
5.3,585758811698.6472
5.35,438686188562.2449
5.4,343963643753.5245
5.45,307460304728.19006
5.5,296524424782.6156
5.55,273437509529.17056
5.6,236483285879.9774
5.65,200498731121.75415
5.7,176085424182.73447
5.75,167477736304.4207
5.8,168909695991.6937
5.85,172174042069.00452
5.9,180449333993.27655
5.95,191388883055.9892
6.0,196203812053.06903
6.05,192085419737.87436
6.1,185621691424.5153
6.15,180064987753.98422
6.2,177908048237.80264
6.25,177523083568.2938
6.3,174088157519.74643
6.35,169656479105.56567
6.4,162487546887.2624
6.45,148313533297.2595
6.5,134743034223.25229
6.55,120913595851.96545
6.6,103524222906.83763
6.65,86501649829.66554
6.7,73607146330.28545
6.75,61863247924.972374
6.8,51229671145.284546
6.85,44781534257.95082
6.9,42445184832.73656
6.95,41998603412.299355
7.0,40438199180.51752
7.05,37672217184.593994
7.1,34367148918.51304
7.15,30814903628.99235
7.2,29263631289.175003
7.25,29820613732.556953
7.3,31337406470.064907
7.35,32624234206.585743
7.4,34168682304.5614
7.45,36738468466.85436
7.5,40059953753.7116
7.55,43297288671.934875
7.6,45363612445.8814
7.65,48213399893.85463
7.7,56322960996.613625
7.75,83445264377.30832
7.8,147607166304.95898
7.85,229681628121.23615
7.9,267239840872.78833
7.95,251727358394.3716
8.0,226993254964.8178
8.05,209274850601.13553
8.1,195162958369.28253
8.15,188148260222.55603
8.2,182996089998.9511
8.25,171183776032.87366
8.3,156781765955.91617
8.35,149402416612.45865
8.4,149118731887.83035
8.45,147830987558.74493
8.5,137396933853.27582
8.55,119949191069.42226
8.6,101192471682.74727
8.65,87524516949.878
8.7,82376800530.6493
8.75,82336688073.60135
8.8,80050116240.76057
8.85,74553042207.90744
8.9,73968536013.83293
8.95,88256793396.05638
9.0,128722329019.82608
9.05,188664206268.62735
9.1,227759346504.41476
9.15,230537228744.79456
9.2,214775174657.0144
9.25,193701381721.29135
9.3,178928805733.0311
9.35,174675321406.15457
9.4,176054040100.3337
9.45,178072057439.3834
9.5,177770693393.50098
9.55,170900171244.62357
9.6,156654248026.1066
9.65,143534659451.38846
9.7,137150542029.74391
9.75,135117384087.84293
9.8,133580200647.83533
9.85,131418373335.49792
9.9,127782402570.50594
9.95,123069217765.76576
10.0,117647594569.42003
10.05,110101064756.34152
10.1,100666933864.91148
10.15,92588679478.51775
10.2,87170233086.92442
10.25,81058945271.77783
10.3,75531205880.96432
10.35,72671796823.18636
10.4,69281115782.00575
10.45,62870235263.26862
10.5,56713499458.279594
10.55,52078422345.93783
10.6,49402005442.668175
10.65,48697826296.44306
10.7,47143859722.45966
10.75,44163859894.77992
10.8,41529689637.63346
