2theta,Intensity
0.0,10829531.937391838
0.05,11792009.958229164
0.1,12349296.291725444
0.15,12947029.825748885
0.2,13589220.222740758
0.25,14280386.430875903
0.3,15025636.297608182
0.35,15830761.084687453
0.4,16702348.158257881
0.45,17647915.95912406
0.5,18686915.034881778
0.55,19862764.77676056
0.6,21253946.125825115
0.65,23232800.879816785
0.7,26025444.97645226
0.75,29353330.45647705
0.8,32646896.017090175
0.85,36330421.66557138
0.9,40064976.99636271
0.95,44068941.12050554
1.0,48564541.81592452
1.05,53574744.80198662
1.1,58879906.35948048
1.15,64456836.37236156
1.2,70559805.29230273
1.25,77184174.98623012
1.3,84664070.42391041
1.35,93266962.7947969
1.4,103276741.74718234
1.45,115089366.35611703
1.5,129196446.22631024
1.55,146256306.8189972
1.6,167243068.78615528
1.65,194073212.51914847
1.7,227645488.37611786
1.75,270942833.3028736
1.8,328800139.4237419
1.85,408819799.07454526
1.9,524150238.3323989
1.95,699430841.6847817
2.0,991678480.4158801
2.05,1635373603.968136
2.1,3785523318.7712297
2.15,10500750802.648384
2.2,22674620010.962658
2.25,29418714712.400177
2.3,20008030354.383873
2.35,10332327038.26278
2.4,6413597187.232724
2.45,5596498311.172647
2.5,5630611052.496882
2.55,5896100865.747759
2.6,6308226648.469743
2.65,6804986357.39123
2.7,7441624082.753686
2.75,8332279233.513464
2.8,9755384428.290176
2.85,12148371544.24055
2.9,15613814226.405506
2.95,19226434677.076286
3.0,21827656845.678055
3.05,23088137087.094807
3.1,23570760861.35934
3.15,23904026632.75628
3.2,24542747139.942398
3.25,25530628841.768864
3.3,26347632174.03571
3.35,26437922444.73903
3.4,26200221278.788883
3.45,26234841664.041412
3.5,26687967715.05233
3.55,27871636784.155582
3.6,29874702618.26135
3.65,32625930054.393585
3.7,36149514057.91783
3.75,40586584308.66672
3.8,46301625805.398605
3.85,53735145738.602516
3.9,62518564920.36215
3.95,72102391222.31302
4.0,84063771866.12405
4.05,100717635298.57889
4.1,124220651202.64474
4.15,157816216583.62384
4.2,207688385428.946
4.25,288308526556.1763
4.3,456487236946.57544
4.35,988389678745.8651
4.4,2651263823077.409
4.45,5771406436382.745
4.5,7550885943862.024
4.55,5645621187654.133
4.6,3117600376495.1226
4.65,2002244205834.9714
4.7,1861330242971.8347
4.75,1919774990714.984
4.8,1935506047118.8147
4.85,1896579999724.467
4.9,1811466158426.043
4.95,1729299079581.9424
5.0,1681087734585.1472
5.05,1694630094974.2888
5.1,1778850539377.575
5.15,1864277129671.113
5.2,1869252486249.8174
5.25,1771012683018.5105
5.3,1609943608881.1125
5.35,1374677125498.6006
5.4,1076227414128.9453
5.45,764957624438.8104
5.5,519254330759.3526
5.55,373698849880.81433
5.6,288091411747.5601
5.65,229911798131.33243
5.7,207100731842.88858
5.75,216027344353.61377
5.8,233723708364.57892
5.85,245070672680.39655
5.9,249838033359.48724
5.95,251012561072.40308
6.0,250645549249.13553
6.05,243313854361.81296
6.1,227842330651.8891
6.15,205806786645.23334
6.2,180733163485.14594
6.25,157469305480.31482
6.3,138877662296.7276
6.35,122133441020.80882
6.4,105469031157.35518
6.45,92785206990.09259
6.5,88077644058.66084
6.55,88146610427.88058
6.6,88560707829.10442
6.65,88226781208.23
6.7,86815005756.84184
6.75,86962869430.47548
6.8,87980277611.63199
6.85,85944343585.19034
6.9,80274191051.80432
6.95,68051059792.5181
7.0,51939296097.160545
7.05,39286337791.26468
7.1,32314601856.02249
7.15,28415290818.517048
7.2,25220467585.423054
7.25,23234096668.0115
7.3,23461543935.86391
7.35,25702256158.23384
7.4,29141149743.60307
7.45,33059042921.29157
7.5,37564656882.938774
7.55,42675352781.12071
7.6,50824362458.94337
7.65,73331633262.43015
7.7,130925302915.34644
7.75,220837954539.7787
7.8,273417715365.61203
7.85,257283865597.85
7.9,236902846559.51285
7.95,250173687866.1012
8.0,273767750388.37708
8.05,283004751259.0294
8.1,280812483377.1316
8.15,271709845381.7544
8.2,260654365237.85822
8.25,253983275492.365
8.3,257684988408.6846
8.35,270914015004.22116
8.4,285574075013.0909
8.45,277262686847.1387
8.5,241980205867.75735
8.55,196462782760.93933
8.6,155148201072.51657
8.65,126460888761.41576
8.7,109510478117.30013
8.75,100245234130.0261
8.8,96312148152.88684
8.85,97569271601.32935
8.9,110381154273.49817
8.95,137896552484.0514
9.0,162176465415.49103
9.05,168126357692.8442
9.1,162437869780.87036
9.15,157029380694.7768
9.2,156920233578.18427
9.25,164331284433.79028
9.3,182237793890.4629
9.35,205560682561.11572
9.4,222759770218.20258
9.45,230370475255.38406
9.5,229710915992.64877
9.55,219684589150.4267
9.6,203099842680.08862
9.65,181398207418.60254
9.7,155292634159.82272
9.75,130580955850.59303
9.8,110630295032.54692
9.85,95548246007.34013
9.9,84064674573.9849
9.95,76101717342.63843
10.0,70012173720.69958
10.05,65597461652.67121
10.1,62670780856.10214
10.15,61340074075.35003
10.2,63640960907.91145
10.25,68642178146.25106
10.3,72362403229.315
10.35,74253033923.50932
10.4,75426871329.41928
10.45,74020001392.05037
10.5,70173852873.66023
10.55,67152330564.28836
10.6,65665858033.038765
10.65,64142636077.095856
10.7,60911467792.70607
10.75,57107329358.91418
10.8,54021475066.45225
10.85,49548587265.41863
10.9,43661995504.763695
10.95,38419572401.913124
11.0,34140645540.389454
11.05,30642143570.07261
11.1,28240462190.616714
11.15,26682670606.49644
11.2,25026947196.74744
11.25,22659499813.26746
11.3,20265357435.786526
11.35,18371089337.673656
11.4,16960294511.45859
11.45,16550924654.064592
11.5,17080850873.537983
11.55,17932624403.635212
11.6,18961301887.68179
11.65,20635120566.63725
11.7,24295292531.260727
11.75,34627531256.585785
11.8,58197039944.21471
11.85,88367737548.30054
11.9,103245382110.9255
11.95,99006492386.79716
12.0,89711812382.07196
12.05,81978164335.14601
12.1,74429179100.20718
12.15,66747219220.62581
12.2,60397127432.130455
12.25,55829902827.65547
12.3,52693649525.33094
12.35,50488221668.73233
12.4,48864605385.504814
12.45,48034663137.19039
12.5,48429422252.80856
12.55,49166880537.78804
12.6,49824865015.659195
12.65,51371654951.90677
12.7,53145258687.47124
12.75,54132007867.27505
12.8,53526595599.70135
12.85,51488563611.08127
12.9,48775725777.852295
12.95,45889176104.322334
13.0,44022898384.41375
13.05,42713880354.0936
13.1,42096964536.26372
13.15,42809625746.69
13.2,44212029417.31464
13.25,44911002073.52079
13.3,45011831103.62331
13.35,45786169513.06779
13.4,46342420499.17206
13.45,45202889089.41571
13.5,42448341140.46154
13.55,39903825812.7452
13.6,37949754749.768456
13.65,35495863503.17264
13.7,33126310970.475025
13.75,31570940190.582882
13.8,30206090788.223343
13.85,28500882118.42973
