2theta,Intensity
0.0,7536910.331703299
0.05,8403580.355677834
0.1,8798939.112000447
0.15,9222859.076018095
0.2,9678158.024109578
0.25,10168009.85799004
0.3,10695999.990621554
0.35,11266191.043978106
0.4,11883201.111605823
0.45,12552297.407907685
0.5,13279508.859250698
0.55,14071762.142970312
0.6,14937046.922438446
0.65,15884617.660618857
0.7,16925241.561495464
0.75,18071505.085704207
0.8,19403737.826105155
0.85,21749284.286025625
0.9,26974292.271189444
0.95,36569361.90151638
1.0,42121028.03132267
1.05,45747968.14062481
1.1,49116140.60826216
1.15,52879308.55046942
1.2,57127497.99417768
1.25,61952651.7853227
1.3,67470374.40996379
1.35,73827783.25593604
1.4,81214606.79981735
1.45,89879165.98381409
1.5,100151864.7846995
1.55,112480517.04425988
1.6,127488200.05634968
1.65,149561851.92902634
1.7,173115742.28361
1.75,203435264.76146692
1.8,243516461.09327152
1.85,298235852.90994024
1.9,375954881.7535683
1.95,491998802.216475
2.0,678910442.8114859
2.05,1050437172.0269719
2.1,2206513324.8921494
2.15,6160735993.237964
2.2,14543859607.768461
2.25,25876142706.58654
2.3,19829463774.57914
2.35,12079175668.79489
2.4,8755287935.099129
2.45,8045089814.037367
2.5,8074867562.016924
2.55,8309273507.332635
2.6,8649175222.867422
2.65,9072174604.97539
2.7,9573676046.289413
2.75,10159185617.0354
2.8,10836837382.498137
2.85,11624055071.311075
2.9,12576154927.695887
2.95,13868704309.065403
3.0,16142640489.321516
3.05,21129911929.74879
3.1,31087016047.810364
3.15,44196184267.42805
3.2,50110785136.78957
3.25,43002256697.66707
3.3,32838802924.084564
3.35,27518569679.692905
3.4,26809534451.138653
3.45,28285067608.656567
3.5,30703937364.61553
3.55,33767432563.97365
3.6,37493314661.89179
3.65,42005312244.362526
3.7,47554525575.710884
3.75,54781354929.50118
3.8,65096378199.98642
3.85,78968331046.28915
3.9,92260793781.70354
3.95,104645657160.13577
4.0,123154783286.26784
4.05,151156407342.38232
4.1,191584903063.51364
4.15,250838614113.88528
4.2,341968596001.3112
4.25,495753053749.79736
