2theta,Intensity
0.0,3494835.705143348
0.05,7084464.875580211
0.1,7415910.380012492
0.15,7771169.385644571
0.2,8152578.7460724935
0.25,8562769.12277156
0.3,9004710.448092038
0.35,9481765.811162867
0.4,9997755.598241968
0.45,10557034.179512748
0.5,11164582.0270741
0.55,11826116.916941246
0.6,12548228.87002565
0.65,13338544.804214349
0.7,14205930.614228979
0.75,15160740.725536695
0.8,16215128.306413885
0.85,17383433.58773677
0.9,19115975.375084095
0.95,25293510.222322293
1.0,27987760.394214302
1.05,30116594.369822033
1.1,32503559.30683348
1.15,35199313.75442968
1.2,38261143.736385755
1.25,41760508.23783988
1.3,45787508.52148936
1.35,50457101.1648011
1.4,55917879.73940155
1.45,62364716.71556723
1.5,70057336.48783058
1.55,79348228.84003183
1.6,91235441.31595206
1.65,105416323.81071629
1.7,123385131.40415491
1.75,146658387.71250334
1.8,177597698.04425138
1.85,220046672.6256819
1.9,280598219.9016914
1.95,371398774.6404996
2.0,519551779.87255716
2.05,829361038.8704402
2.1,1803520768.158193
2.15,4799844495.936522
2.2,16581925441.333414
2.25,20810387188.773243
2.3,19562817204.122093
2.35,14210180743.483255
2.4,10231598167.716639
2.45,8902564256.504091
2.5,8799407355.069624
2.55,9042907752.170067
2.6,9411367565.326948
2.65,9862104044.682323
2.7,10384556509.73363
2.75,10980935446.507168
2.8,11651014632.78426
2.85,12405247151.888529
2.9,13261252310.52916
2.95,14252892736.22018
3.0,15486988975.86665
3.05,17450260539.121243
3.1,21584696515.325275
3.15,28813590028.288754
3.2,34133712516.396854
3.25,31632104759.982746
3.3,27694553573.750225
3.35,27010709755.89509
3.4,28599900042.872383
3.45,31146575905.116627
3.5,34287584575.733704
3.55,38035741697.64163
3.6,42499572465.137184
3.65,47847282375.993576
3.7,54326931480.049385
3.75,62358312904.801605
3.8,72527532429.56528
3.85,85164134356.8157
3.9,100366602071.99931
3.95,119998850348.0056
4.0,146724366187.76154
4.05,183887875958.97116
4.1,237286962169.5229
4.15,317440150168.9772
4.2,445139374835.6062
4.25,684981677099.4318
4.3,1377333200077.143
4.35,3876281567999.7007
4.4,9929511179410.322
4.45,15602093549727.256
4.5,11645197355074.48
4.55,4945871860765.943
4.6,1716340605408.773
4.65,780139318677.0906
4.7,487363800568.0606
4.75,343291992903.62604
4.8,255550919399.4598
4.85,198542041287.7537
4.9,161615808011.76584
4.95,139866126961.0154
5.0,126086865580.29678
5.05,110292391249.39134
5.1,92673228946.47777
5.15,76556300655.70847
5.2,63679831804.8528
5.25,54795167028.52116
5.3,48676235853.755394
5.35,44079207002.39605
5.4,40430406485.92943
5.45,37629695335.897385
5.5,35510460100.57395
5.55,33741353512.047016
5.6,32469214300.479042
5.65,31686572226.956383
5.7,31429994096.933556
5.75,31871135907.82288
5.8,33538595030.10542
5.85,37028395978.292206
5.9,41364527194.38272
5.95,45131346219.66537
6.0,50279361488.37259
6.05,58078038307.532974
6.1,71276728314.09415
6.15,97651517599.1558
6.2,166247221081.91135
6.25,375343887062.92224
6.3,896819928037.4131
6.35,1691343500633.3486
6.4,2142810314130.7751
6.45,1721629734318.4272
6.5,920961657651.1492
6.55,387156921947.65247
6.6,169457716246.15738
6.65,96108559364.35489
6.7,60701407201.34077
6.75,45181114931.89236
6.8,35504324832.01033
6.85,29175871473.65777
6.9,24728321413.30989
6.95,21349454966.71526
7.0,19054849202.16594
7.05,17738134569.963146
7.1,17059547450.156757
7.15,17325844310.698246
7.2,18801810504.769447
7.25,20044178730.94403
7.3,20225852790.758842
7.35,21575697103.97953
7.4,25977053259.40151
7.45,33083762806.367474
7.5,42702324182.78217
7.55,64977524048.724846
7.6,151358459317.1849
7.65,405066596173.4566
7.7,760203507627.442
7.75,723121024976.7109
7.8,360382317627.2556
7.85,132275042262.40211
7.9,58068650128.07364
7.95,37541349556.21536
8.0,30088935785.04277
8.05,26745105583.069267
8.1,23577895031.458893
8.15,20372190654.08642
8.2,17941764375.8082
8.25,16048215583.853687
8.3,14693159065.53521
8.35,14103309416.168531
8.4,13997436011.26739
8.45,14435241896.715311
8.5,15722214017.606075
8.55,17993882641.336906
8.6,21391299443.596416
8.65,26728692804.248924
8.7,36684580384.51648
8.75,60066511823.59128
8.8,132242136129.83269
8.85,328363708784.10223
8.9,653970297433.3887
8.95,870633656271.7574
9.0,818366385519.51
9.05,569849260958.2809
9.1,303115778206.5099
9.15,138569067646.35892
9.2,68343006732.947914
9.25,41656776908.34498
9.3,29350652957.42045
9.35,22684010918.85565
9.4,19190456219.56983
9.45,17358072457.318935
9.5,16039231494.831268
9.55,15161606469.222187
9.6,15163619233.801529
9.65,16267732433.744535
9.7,18695423661.703964
9.75,23203582072.82607
9.8,33941781190.96727
9.85,65026888496.297905
9.9,146179634084.662
9.95,297490133336.68054
10.0,460003096769.4599
10.05,502324029568.84753
10.1,389266384617.54346
10.15,241139618485.35864
10.2,148748165334.62912
10.25,99844439273.09473
10.3,64198836302.1049
10.35,37870551516.17959
10.4,22944516184.08723
10.45,15881176294.823605
10.5,12105085060.266182
10.55,9566685234.204422
10.6,7965870371.424139
10.65,7155683910.716658
10.7,6891715152.691656
10.75,6754593883.5561695
10.8,6372703222.743963
10.85,5881402669.956379
10.9,5509841628.837889
10.95,5088236148.810867
11.0,4493313746.374525
11.05,4013709158.6143255
11.1,4013983827.8808575
11.15,4382674768.360126
11.2,4857711095.216074
11.25,4932508380.056948
11.3,4616368888.213607
11.35,4153441419.1272235
11.4,3712704469.751546
11.45,3377855047.4889216
11.5,3261203249.869633
11.55,3433753938.23655
11.6,4003713213.9497294
11.65,5434657135.54839
11.7,9477085610.3983
11.75,18682339338.647057
11.8,29645168974.26082
11.85,33245546895.969467
11.9,38019448028.92814
11.95,49701274025.63382
12.0,59930161588.33497
12.05,58284404053.98174
12.1,45451356877.68401
12.15,30227831207.17063
12.2,19376412418.089127
12.25,14134931660.404385
12.3,12911093604.87504
12.35,14205181706.29998
12.4,18175526489.297512
12.45,28966530446.303165
12.5,59940504694.09074
12.55,133990909886.57689
12.6,254575994774.5378
12.65,361118830967.8131
12.7,365587771586.82007
12.75,271310519342.16238
12.8,164461771390.47333
12.85,94941116678.07176
12.9,57111465776.919655
12.95,35100632943.08979
13.0,21480849166.104465
13.05,13588136857.734661
13.1,9333175235.501917
13.15,7079888929.629836
13.2,5849021865.576396
13.25,5151447684.525252
13.3,4721611563.813222
13.35,4421468670.055877
13.4,4116758351.5884256
13.45,3748615323.248773
13.5,3534848304.694757
13.55,3666131947.8938737
13.6,4019813144.502171
13.65,4419759254.284014
13.7,4811760359.573234
13.75,4956970846.967888
13.8,4553913687.721886
13.85,3796459179.616912
13.9,3232067833.17991
13.95,3074620578.231909
14.0,3327194598.9229045
14.05,4244395613.9562445
14.1,5805527456.518643
14.15,6963958386.3701935
14.2,6637852570.5058975
14.25,5307753907.401326
14.3,4273258023.755054
14.35,4046792110.4434314
14.4,4479503109.449903
14.45,5313075946.810689
14.5,6080018138.342038
14.55,6265570252.217808
14.6,6033098907.030138
14.65,6396066492.559646
14.7,8719747885.31953
14.75,14680523446.185839
14.8,25867564557.803417
14.85,42474307409.778755
14.9,61565975180.13942
14.95,76840285595.50609
15.0,79585069674.76256
15.05,67891906038.22433
15.1,48668380398.95104
15.15,30146827714.88061
15.2,17182884086.166645
15.25,9885959226.057457
15.3,6444129008.124483
15.35,5467276594.681083
15.4,6646094869.059483
15.45,9224688817.679432
15.5,9278744624.543688
15.55,6294524527.88565
15.6,4332424295.074695
15.65,3853192933.098335
15.7,3842057893.10955
15.75,4211422128.109098
15.8,4802843264.507608
15.85,5105070031.288369
15.9,5213401916.553602
15.95,6120614324.045324
16.0,9713628168.687424
16.05,17785732221.876842
16.1,28304724349.47664
16.15,33943455710.4569
16.2,30189978357.076977
16.25,21672201138.2499
16.3,14806706262.105377
16.35,11372479856.09343
16.4,10183964985.943974
16.45,9720301370.302563
16.5,8898415168.547424
16.55,7461208953.1904955
16.6,5974435438.868854
16.65,5130281496.627363
16.7,5091290915.85815
16.75,5180202587.828421
16.8,4650926063.092
16.85,3678762840.4708157
16.9,2920183525.391659
16.95,2610305497.383559
17.0,2567009914.2477145
17.05,2534126979.521883
17.1,2445121381.831202
17.15,2339591517.9688115
17.2,2165786430.297342
17.25,1901919149.4662807
17.3,1635486327.7669592
17.35,1485381974.889353
17.4,1521946833.0141072
17.45,1705752783.895797
17.5,1905852308.5283244
17.55,2093645368.3942053
17.6,2316882069.890478
17.65,2632092483.2090197
17.7,3372415614.1351185
17.75,5297233117.518391
17.8,9645338845.475567
17.85,17139473311.248743
17.9,24934342285.355434
17.95,29868417183.4225
18.0,33435138300.65196
18.05,34631908317.235214
18.1,32345976721.185837
18.15,27914140432.235546
18.2,22859872631.8931
18.25,18077136960.013935
18.3,14110340688.339287
18.35,11632369394.28406
18.4,11063311588.88358
18.45,11562893327.73569
18.5,11537898746.050987
18.55,10364286288.768988
18.6,8523950487.460055
18.65,6595822144.959818
18.7,4937227837.4177065
18.75,3718566754.8776155
18.8,2989346044.564416
18.85,2623318793.4296856
18.9,2419633452.092414
18.95,2293578640.0486493
