2theta,Intensity
0.0,8158727.00272828
0.05,9658940.549408238
0.1,10115784.64658653
0.15,10605812.678110601
0.2,11132316.936863132
0.25,11699008.224397764
0.3,12310081.327039542
0.35,12970292.757278558
0.4,13685053.45712895
0.45,14460539.845616866
0.5,15303827.477179218
0.55,16223052.726993682
0.6,17227609.42281466
0.65,18328389.324664377
0.7,19538077.986396797
0.75,20871521.059673656
0.8,22346180.866528872
0.85,23993975.090450276
0.9,27652638.488520123
0.95,35644199.89860185
1.0,39304044.56930324
1.05,42323372.20168205
1.1,45719229.298279725
1.15,49561419.25633931
1.2,53934246.57789695
1.25,58943273.28503353
1.3,64722153.47522269
1.35,71442186.71203013
1.4,79325901.53176896
1.45,88666736.4028909
1.5,99858157.62836164
1.55,113437756.25765096
1.6,131292904.6161126
1.65,152392914.86485934
1.7,179171401.39612404
1.75,214136957.37567028
1.8,261065878.6488934
1.85,326186572.5544346
1.9,420344633.41302013
1.95,563868457.1685872
2.0,803351688.3123354
2.05,1329706902.6588686
2.1,3121347739.087638
2.15,8815405979.259174
2.2,24388478868.21791
2.25,28168306632.324615
2.3,19774307579.078316
2.35,12176793521.403273
2.4,9256184326.459959
2.45,8664790038.017569
2.5,8724912452.10942
2.55,8982179686.21631
2.6,9345300847.429413
2.65,9789251231.617016
2.7,10307380748.635342
2.75,10904171422.737106
2.8,11581323050.858105
2.85,12348532789.168432
2.9,13233424212.999693
2.95,14294299367.448719
3.0,15749548920.6295
3.05,18532788487.744045
3.1,24792314758.107574
3.15,34567897599.126335
3.2,39509861238.229164
3.25,34378145040.225075
3.3,28479456041.749283
3.35,26973140064.14505
3.4,28252840322.065517
3.45,30625099019.22141
3.5,33617729832.617256
3.55,37215462783.895805
3.6,41514374601.91689
3.65,46675245600.43237
3.7,52955473728.21772
3.75,60874739380.33779
3.8,71242653353.08878
3.85,84183771593.33878
3.9,98495183535.26561
3.95,116203182214.88605
4.0,140908167038.03796
4.05,175713844279.65237
4.1,225558311312.76276
4.15,299585835899.0633
4.2,416051365274.00824
4.25,625875954708.7852
4.3,1184906438589.2039
4.35,3221752519013.595
4.4,8657370445163.771
4.45,15071584858846.857
4.5,12705258858943.62
4.55,5789284074206.554
4.6,2010267953791.3574
4.65,856389072688.3801
4.7,516216727524.37695
4.75,359431208933.5995
4.8,266023971640.2215
4.85,206647942771.5557
4.9,170538537216.98706
4.95,152692682235.4327
5.0,142358632173.08942
5.05,124747631638.93738
5.1,99764644869.46043
5.15,78045374179.97324
5.2,63996533387.78313
5.25,55294011355.623184
5.3,49202500350.24666
5.35,44491130428.39417
5.4,40721282708.941216
5.45,37698182571.710655
5.5,35634907315.440315
5.55,33810606997.577557
5.6,32501161957.020878
5.65,31700558329.02107
5.7,31450607944.384617
5.75,31933497102.581024
5.8,33762696365.592995
5.85,37906929702.8236
5.9,43780736525.62707
5.95,48674043095.60735
6.0,53866120975.37676
6.05,62118134494.95414
6.1,78708215042.59013
6.15,120896186095.57957
6.2,244930171025.38388
6.25,563972553210.6008
6.3,1127436109061.4812
6.35,1672397546721.3242
6.4,1746644062900.2163
6.45,1273419662320.7847
6.5,671221630757.741
6.55,292490601457.97473
6.6,135151516953.99518
6.65,79910431915.63339
6.7,51164031659.613556
6.75,38845618206.44989
6.8,31169343992.323376
6.85,25936643633.684593
6.9,21897135131.90253
6.95,19192263865.277935
7.0,17990040113.15649
7.05,18107271856.75992
7.1,19061516868.287937
7.15,20383107372.682766
7.2,21019386582.942616
7.25,20124797235.41568
7.3,19651851290.053963
7.35,22056567233.518936
7.4,27256389335.283173
7.45,33537524797.03801
7.5,40767812990.21222
7.55,56356899848.407104
7.6,116825804947.25687
7.65,320467738968.5161
7.7,691242661015.5343
7.75,815790561029.9493
7.8,474682591941.9889
7.85,183630208057.32675
7.9,73762660970.26323
7.95,44544330691.24222
8.0,37003929965.08924
8.05,35485736857.320656
8.1,32761889431.38346
8.15,27440150864.64909
8.2,21902691793.437534
8.25,17713108787.807808
8.3,15329201510.98651
8.35,14522894524.589472
8.4,14483627957.438183
8.45,14855518103.258734
8.5,15972197507.047503
8.55,18072624257.659634
8.6,21472579437.761124
8.65,27242603981.28394
8.7,38498346815.53049
8.75,66276888280.25296
8.8,146094939048.5425
8.85,344108882156.24713
8.9,660979909719.2107
8.95,857030894706.2765
9.0,747185972214.8407
9.05,508156500685.2135
9.1,288013738548.2423
9.15,145143324326.8649
