2theta,Intensity
0.0,11710548.390086858
0.05,14929434.476071784
0.1,18389514.28329144
0.15,20568463.322463613
0.2,21835033.086779166
0.25,23085602.413115203
0.3,24378250.813504655
0.35,26077317.434511483
0.4,28677245.467912804
0.45,32445802.455494996
0.5,36149707.69381807
0.55,39568672.66911086
0.6,43349366.16070087
0.65,48384729.59530672
0.7,53694247.39313952
0.75,59876885.52520879
0.8,65911892.56598033
0.85,72676531.39631392
0.9,79969560.77775446
0.95,87375362.02363168
1.0,95070289.23493813
1.05,103383237.56824684
1.1,112348734.78590573
1.15,122291162.05981977
1.2,133431388.55456014
1.25,146201299.53387594
1.3,160969235.20416528
1.35,178240736.46754026
1.4,198205918.01938447
1.45,221824331.3012783
1.5,250200446.78041202
1.55,284914854.2827786
1.6,328213898.006106
1.65,384070281.52028257
1.7,458013846.5296174
1.75,558012979.2905208
1.8,697586115.4535291
1.85,904581369.2409675
1.9,1248349753.2152858
1.95,2038567988.3149807
2.0,4620161658.357109
2.05,11682166895.519396
2.1,21782101307.566208
2.15,23354340352.26548
2.2,16933182259.439428
2.25,16115144444.316723
2.3,19146237911.19822
2.35,18958104499.340267
2.4,15048881640.579506
2.45,11144315382.249523
2.5,9646805102.566854
2.55,10446248571.767797
2.6,13350060032.231424
2.65,17578026136.985485
2.7,21056661240.626167
2.75,22140868295.814484
2.8,22351426224.055836
2.85,24108292639.84489
2.9,26989460977.301346
2.95,29180107659.07312
3.0,30357606822.096874
3.05,30613626242.772163
3.1,30529565822.119305
3.15,29577842785.31609
3.2,28104682147.147526
3.25,26701579324.160156
3.3,25457425447.614174
3.35,24747552274.20202
3.4,24805293490.82174
3.45,25642251453.138878
3.5,27259393088.75473
3.55,29352503081.297306
3.6,31435069160.598186
3.65,33394272382.350418
3.7,35761310507.15519
3.75,39072657887.1459
3.8,43786609528.00205
3.85,50817671817.81
3.9,61008057550.06156
3.95,73191623239.60556
4.0,85406933906.81311
4.05,98148215304.13588
4.1,114553539975.67867
4.15,137940509758.24402
4.2,171622604468.45306
4.25,220395527115.59326
4.3,298033807006.96875
4.35,464668910182.489
4.4,971646130043.4159
4.45,2369516483376.0283
4.5,4708006698941.335
4.55,6349851750541.822
4.6,6634090339374.849
4.65,6312231241736.271
4.7,5580200690154.437
4.75,4370528227856.6304
4.8,3023387257838.1484
4.85,1991024483661.704
4.9,1349128129579.6697
4.95,1052050429069.9073
5.0,912005814700.9525
5.05,782529260849.8146
5.1,673796511190.219
5.15,602298941192.3367
5.2,559526851880.2207
5.25,543557447488.36304
5.3,527232314649.9439
5.35,490324407787.13
5.4,453193296272.75275
5.45,430071336975.67346
5.5,414286976073.0201
5.55,404527934141.78595
5.6,396535031080.99884
5.65,374936029326.5829
5.7,320816914094.0761
5.75,251131952006.2565
5.8,193540008683.47583
5.85,153398947664.4736
5.9,130575600439.36705
5.95,122633649798.67735
6.0,116347181534.61005
6.05,106222686702.52466
6.1,100625464536.4752
6.15,101998733045.41444
6.2,103936591895.20914
6.25,100948886977.49567
6.3,90965499301.08556
6.35,79717473126.63062
6.4,71433722796.09084
6.45,63037650094.140175
6.5,55196344723.31165
6.55,51212294838.88061
6.6,50452367964.660416
6.65,50565707326.18824
6.7,51400389911.56068
6.75,52184135833.69639
6.8,53504586467.31971
6.85,52709656663.79997
6.9,48900807432.93199
6.95,45184009858.506516
7.0,43007703616.76836
7.05,40384032746.02475
7.1,38410087195.99952
7.15,38371895653.84437
7.2,38454288685.83472
7.25,37605319142.91007
7.3,35711052556.39257
7.35,33198839210.57029
7.4,30663650645.86946
7.45,28782121650.521053
7.5,28194054862.543068
7.55,28828884717.58769
7.6,31112651031.13679
7.65,38313814300.13349
7.7,61816661800.75244
7.75,127806438747.67596
7.8,245395667747.301
7.85,343705672312.5318
7.9,364729631623.48737
7.95,340435724518.014
8.0,308375659433.42645
8.05,290247993662.7739
8.1,281037810294.21936
8.15,266940546798.69955
8.2,249107762059.82825
8.25,230337165330.07483
8.3,211063776843.06647
8.35,186935230666.8177
8.4,162435523817.45258
8.45,148046851751.22833
8.5,143394745509.15082
8.55,139941776589.4193
8.6,133294709901.84993
8.65,122861493389.09384
8.7,110585750985.68576
8.75,100754943779.05064
8.8,93771014610.6896
8.85,91047326150.25246
8.9,98251264350.01494
8.95,129762738867.48996
9.0,191658992913.02298
9.05,242538228648.32178
9.1,248759723592.7623
9.15,244777230394.8064
9.2,249647303038.47745
9.25,249764174769.7155
9.3,238419290724.97827
9.35,224568251510.86957
9.4,217163025188.05505
9.45,210086326056.70374
9.5,193748213713.43695
9.55,172426555815.8532
9.6,155999026150.6648
9.65,144916987339.7282
9.7,133421859778.46608
9.75,118049089013.43634
9.8,104337368051.78157
9.85,99114693602.8435
9.9,97995946082.1047
9.95,96813598494.35942
10.0,95184536222.89906
10.05,91968763832.44363
10.1,89288609430.78378
10.15,87397979595.95
10.2,83685184290.01665
10.25,77076891345.49632
10.3,68398973855.23404
10.35,61261095229.29141
10.4,55818350565.9342
10.45,49774735773.04583
10.5,44308020309.35794
10.55,40454053190.662186
10.6,37799691454.415634
10.65,35667861661.64531
10.7,33577837473.78449
10.75,31948941837.65626
10.8,31106641316.23744
10.85,30563067194.98735
10.9,29793892550.529095
10.95,29294633412.909824
11.0,29250567101.855618
11.05,29706176380.154472
11.1,30192116950.888985
11.15,29598847086.383736
11.2,27734957998.381027
11.25,25597259968.43512
11.3,24079548043.505997
11.35,23118552289.87171
11.4,22477308565.561165
11.45,21818960086.34068
11.5,21217448114.994522
11.55,21106347624.00089
11.6,21010636094.252956
11.65,20685438929.91406
11.7,20715339467.739628
11.75,21772804326.93231
11.8,26070994934.923473
11.85,40489537006.08868
11.9,73325226327.9226
11.95,113718691722.75266
12.0,130966164442.49257
12.05,122411236033.59578
12.1,107745497494.93018
12.15,97458950752.8296
12.2,92660498444.17535
12.25,90494061249.44214
12.3,87957784777.35313
12.35,85975120842.75482
12.4,85405337145.31241
12.45,85586595021.54076
12.5,86463209292.49257
12.55,84989275849.65562
12.6,79725751039.01677
12.65,73909628239.8749
12.7,70488056049.68323
12.75,69381489102.1065
12.8,68592149692.92379
12.85,66708280281.16925
12.9,63891554822.12087
12.95,61132137379.90931
13.0,58931787092.82929
13.05,56350785751.28126
13.1,53250140974.28588
13.15,49943526940.47162
13.2,47145718785.99478
13.25,45801251554.62559
13.3,45439658491.86688
13.35,45151326659.35325
13.4,44614794479.07491
13.45,42331472962.53862
13.5,38803048862.29654
13.55,36324084387.56232
13.6,35234513145.537506
13.65,34937904084.595375
13.7,35054526358.41643
13.75,34877959071.21679
13.8,33926456351.29606
13.85,31924753009.984802
13.9,29433232602.30412
13.95,27408684818.400803
14.0,26027474107.01837
14.05,25145746587.41566
14.1,24492387738.302353
14.15,23645192582.390316
14.2,22724931995.928658
14.25,21964633468.08711
14.3,21477107201.845127
14.35,21109295931.35211
14.4,20740042782.272022
14.45,20343894407.275066
14.5,19808263034.988792
14.55,18965653840.209423
14.6,17991244845.430763
14.65,17146424718.900455
14.7,16427595699.33701
14.75,16018830866.360435
14.8,16051886772.18822
14.85,16335584081.536875
14.9,16348076431.900469
14.95,15898472351.097656
15.0,15261065704.437653
15.05,14659460167.735712
15.1,14048587137.202751
15.15,13423109779.651518
15.2,12985910975.155638
15.25,12806639470.306604
15.3,12792217509.663061
15.35,12762618715.741508
15.4,12632941633.72131
15.45,12742865715.577927
15.5,13390971275.92717
15.55,15474938950.982172
15.6,20460371300.278458
15.65,27848298870.690502
15.7,33205872621.607555
15.75,33026414361.087387
15.8,29760927907.96666
15.85,26678303673.59124
15.9,24415326928.093025
15.95,22589922817.834957
16.0,21352457365.634308
16.05,20692649491.33634
16.1,20252137323.311134
16.15,20166604917.290073
16.2,20460131629.41466
16.25,20873082025.67161
16.3,21593669491.612843
16.35,22036638858.13911
16.4,21752424354.16821
16.45,20976266524.125298
16.5,20173593552.861156
16.55,19701205675.834663
16.6,19462199645.691135
16.65,19183759671.062366
16.7,18885113155.89666
16.75,18388961482.915142
16.8,17926362718.615498
16.85,17679057459.893627
16.9,17425355739.275978
16.95,17375174586.190186
17.0,17408872749.64422
17.05,17386897844.49539
17.1,17378585140.826405
17.15,17197277449.707443
17.2,16878076379.594786
17.25,16547559289.828642
17.3,16171972299.69384
17.35,15741941097.972809
17.4,15274660868.457457
17.45,14767418563.780476
17.5,14318231581.304815
17.55,14008162460.449364
17.6,13815096645.631332
17.65,13752640218.623886
17.7,13796625657.866632
17.75,13701089773.236595
17.8,13534468065.903599
17.85,13510550675.737764
17.9,13687048222.107176
17.95,13921054828.029
18.0,14107600786.276339
18.05,14248626811.772963
18.1,14268294402.477297
18.15,14022863376.81475
18.2,13680290251.445816
18.25,13420295429.572882
18.3,13220936771.48195
18.35,13157774205.732298
18.4,13294293765.091423
18.45,13607837924.882957
18.5,14014125550.030203
