2theta,Intensity
0.0,6913075.095759322
0.05,7415616.492780238
0.1,12479512.719629345
0.15,13068520.039718226
0.2,13700230.959731642
0.25,14378875.329377988
0.3,15109219.948169557
0.35,15896652.479559004
0.4,16747281.07165817
0.45,17668053.136135686
0.5,18666897.61415198
0.55,19752896.190335322
0.6,20936490.386717595
0.65,22229733.393143095
0.7,23646598.02772406
0.75,25203355.59181294
0.8,26919044.900301777
0.85,28830582.337183654
0.9,31437064.250004232
0.95,37005958.15488929
1.0,43242289.94519908
1.05,48912579.25363933
1.1,53447133.92163306
1.15,57829657.62127243
1.2,62718755.009614125
1.25,68279853.6068981
1.3,74652408.52288322
1.35,82007243.59378724
1.4,90563403.02408661
1.45,100605603.90426472
1.5,112509557.83955105
1.55,126779498.42890695
1.6,144105135.65427276
1.65,166758004.41017938
1.7,194001458.58942673
1.75,228267234.23446405
1.8,273075141.6411217
1.85,333337066.9304957
1.9,417205190.9868392
1.95,539007294.5137758
2.0,726332264.3392385
2.05,1051621361.0874479
2.1,1854409108.02459
2.15,4591283620.038665
2.2,11917826742.236551
2.25,23383293538.77964
2.3,27905231520.52884
2.35,22399038053.473568
2.4,13724607926.101841
2.45,8249399812.776341
2.5,6344208494.286312
2.55,5929675414.096425
2.6,5922648835.092317
2.65,6060829896.755659
2.7,6305797118.189329
2.75,6691830096.707601
2.8,7159369461.960935
2.85,7668160231.255057
2.9,8262643106.680847
2.95,8948973949.224316
3.0,9817445546.70401
3.05,11322340915.747402
3.1,14740628525.547144
3.15,21493786983.109116
3.2,29300658886.07773
3.25,32109417582.963875
3.3,28825336679.00966
3.35,23425496915.390255
3.4,19898614796.742535
3.45,19143920866.648033
3.5,20047820591.191704
3.55,21717460270.91988
3.6,23866845921.47057
3.65,26484915329.544098
3.7,29656093993.91679
3.75,33569411270.333366
3.8,38695624092.07034
3.85,45830322050.11652
3.9,54712819631.46975
3.95,63047553952.22588
4.0,72536871361.14787
4.05,86611726136.2748
4.1,106981351470.77272
4.15,136086774043.11394
4.2,178974350645.94022
4.25,245755316250.0006
4.3,362197905504.5558
4.35,649049766434.9763
4.4,1679575150761.8633
4.45,4656317343626.305
4.5,8857090739262.73
4.55,8481809702005.572
4.6,4209227893452.9966
4.65,1500691832156.8699
4.7,613757503816.8009
4.75,366485653943.65656
4.8,270136531953.72797
4.85,240229908090.82892
4.9,292266028222.19305
4.95,452909095268.46094
5.0,650414778538.6604
5.05,730558979518.9336
5.1,676772373518.3292
5.15,562754114889.5352
5.2,402730132445.79083
5.25,238552089378.19708
5.3,129033470760.28491
5.35,76393306683.04994
5.4,54121768640.8145
5.45,43434336145.56681
5.5,37005197409.516304
5.55,32573816876.60074
5.6,29429230709.252174
5.65,27078097702.808037
5.7,25410278033.461163
5.75,24364339927.26209
5.8,24054857814.309822
5.85,25037774538.82376
5.9,28545164743.180893
5.95,34598082019.65042
6.0,38416300899.838234
6.05,38594509270.05092
6.1,41407658122.7913
6.15,51544507175.65957
6.2,78501990748.25897
6.25,140104615888.6084
6.3,250630411071.4275
6.35,393308503308.02264
6.4,520285548796.67426
6.45,609475089634.6296
6.5,685828674230.7451
6.55,763603463527.2196
6.6,788842194108.3159
6.65,681916502631.3982
6.7,468592044278.94006
6.75,262261785402.06915
6.8,132648032954.6678
6.85,68184785438.90816
6.9,40261229144.1064
6.95,28240640192.54012
7.0,22331368299.423553
7.05,18663396223.578682
7.1,16024196090.23367
7.15,14222627223.95293
7.2,13207431813.944191
7.25,12801189154.193398
7.3,12732671289.741615
7.35,12845314103.593115
7.4,13072298994.71826
7.45,13346442547.091505
7.5,13711022225.233408
7.55,14536434572.261845
7.6,16366343167.107368
7.65,20842907128.848537
7.7,36243074039.91018
7.75,85137566915.49098
7.8,172675232703.21057
7.85,204627612067.41876
7.9,130368084510.44817
7.95,72198904391.90886
8.0,74700173368.38942
8.05,120844029084.72336
8.1,180750938734.35632
8.15,224743810258.6184
8.2,237684554363.42813
8.25,221340598963.80774
8.3,185817280045.895
8.35,140858211308.9077
8.4,101050269463.38011
8.45,73082623819.498
8.5,51604448842.32213
8.55,34380415339.2801
8.6,22683361941.43425
8.65,16542384426.495409
8.7,14473754839.79388
8.75,15777055126.650513
8.8,21481298630.06901
8.85,33571404136.63984
8.9,53133680720.36188
8.95,82999860580.4486
9.0,128549254309.38231
9.05,170753488741.36465
9.1,175843569126.33
9.15,176510409186.10025
9.2,201017595726.47205
9.25,235825968027.90988
9.3,240404449971.67642
9.35,198843363857.02512
9.4,137930858985.97748
9.45,85579381955.69876
9.5,50213671337.48061
9.55,30280639411.367283
9.6,20802484429.60134
9.65,16826611053.128487
9.7,15147836046.579924
9.75,14698263817.674187
9.8,16374529391.240637
9.85,22209482907.094223
9.9,34381998176.440544
9.95,54218587876.751816
10.0,78991790029.1629
10.05,102722763785.73788
10.1,123748013187.34872
10.15,148401846097.0522
10.2,181716915593.02594
10.25,219122435467.69717
10.3,243102228468.91864
10.35,239426089739.62476
10.4,207796038574.18732
10.45,162617877050.40045
10.5,121694806811.65764
10.55,89760258000.94896
10.6,64067552709.71468
10.65,44489574800.62428
10.7,31647772115.733204
10.75,23799273774.652576
10.8,18561880296.42361
10.85,15022759617.730217
10.9,13363314572.009924
10.95,13968954923.009745
11.0,17396044494.267822
11.05,24790666979.426228
11.1,36834500273.09276
11.15,52122794682.46711
11.2,67609549963.78102
11.25,78414518423.177
11.3,81902767377.5323
11.35,78600155488.83134
11.4,69972807389.15114
11.45,58579112842.05542
11.5,47631837979.89257
11.55,40229107964.70056
11.6,34860080162.23642
11.65,29398608506.347946
11.7,23802369341.202408
11.75,18734223720.211437
11.8,14876535492.919237
11.85,13747989536.970577
11.9,17257294280.251728
11.95,24886312319.798985
12.0,28803177277.734547
12.05,28167806536.60686
12.1,31985049032.912323
12.15,38351913090.56131
12.2,42491427484.38052
12.25,44299501447.07961
12.3,45234772351.385666
12.35,44914882492.79533
12.4,43594834968.94815
12.45,42271827282.96812
12.5,40460876868.29171
12.55,38456568640.007965
12.6,37953265519.733665
12.65,39851657234.30011
12.7,43872137786.97362
12.75,49868069511.3223
12.8,57943017329.664154
12.85,67505325250.68072
12.9,77290428155.90305
12.95,86618883804.82713
13.0,93432096334.46606
13.05,93079267201.23872
13.1,81981149852.7403
13.15,64647742992.4221
13.2,48623569546.11841
13.25,37707753078.71304
13.3,30564728419.62612
13.35,25312309372.032967
13.4,22117257178.500175
13.45,22349267622.13751
13.5,27120825120.0489
13.55,35381446681.03133
13.6,44810672945.38892
13.65,52576873836.707115
13.7,57861800793.72825
13.75,61523783030.18809
13.8,63243635436.04986
13.85,62339930335.38273
13.9,58594433394.83011
13.95,52840524300.83116
14.0,46576056188.17778
14.05,41118527976.10675
14.1,36933314316.117744
14.15,33111662139.5396
14.2,28632253338.663345
14.25,23920206035.698017
14.3,20176838198.71479
14.35,18044168318.896133
14.4,16964119706.730072
14.45,16497550434.364685
14.5,16617137906.393991
14.55,17133130726.579664
14.6,17768696241.12657
14.65,18212675674.516685
14.7,18411813076.29965
14.75,18364419357.752037
14.8,17862557629.440598
14.85,17216456145.64589
14.9,16949039646.823174
14.95,16805294241.632423
15.0,16493991193.213438
15.05,15983992553.39132
15.1,15741919315.138025
15.15,15952694979.56351
15.2,16588655124.189789
15.25,17715783674.043343
15.3,19601153495.701992
15.35,21716056394.415604
15.4,23424037006.40791
15.45,25053421936.45076
15.5,26196309345.285
15.55,26431190059.018776
15.6,28271701538.38564
15.65,35288724794.86143
15.7,42088004020.71017
15.75,36358557942.6583
15.8,24721979910.13339
15.85,17277612276.65029
15.9,14342250163.055182
15.95,13404051649.678516
16.0,12313080792.820816
16.05,10562379465.492828
16.1,9473986236.348255
16.15,10146088766.19059
16.2,12689906815.485405
16.25,16825653453.994596
16.3,22100121830.282158
