2theta,Intensity
0.0,967.92203151
0.05,1012.02733999
0.1,1059.21631691
0.15,1109.78316165
0.2,22735.57046694
0.25,23785.74010935
0.3,24910.39179642
0.35,26116.73971626
0.4,27412.8932389
0.45,28807.99362111
0.5,30312.37570778
0.55,31937.75999482
0.6,33697.48175012
0.65,35606.76559871
0.7,37683.05618656
0.75,39946.41841092
0.8,42420.02446927
0.85,45130.74994957
0.9,48109.90779901
0.95,51394.15788846
1.0,55026.64191772
1.05,59058.40985844
1.1,120704.44118502
1.15,128372.05186567
1.2,136847.87383299
1.25,146256.73806222
1.3,156749.69174158
1.35,168511.11521835
1.4,181768.25024903
1.45,196804.13486414
1.5,213975.43259665
1.55,233737.42523532
1.6,256679.70853683
1.65,283578.2518494
1.7,316036.34029611
1.75,354377.13833746
1.8,401135.01059313
1.85,459187.05502793
1.9,532821.84450928
1.95,628696.48750512
2.0,757733.4210395
2.05,940563.51727517
2.1,1236309.96314191
2.15,1854747.76036631
2.2,3199310.75531119
2.25,5257488.16861534
2.3,3105806539.6749964
2.35,3258444004.5796328
2.4,3434199469.8186483
2.45,3614464117.226957
2.5,3772636825.9451966
2.55,3940956020.492517
2.6,4136767916.020374
2.65,4355897030.013191
2.7,4595104449.27192
2.75,4855160426.443878
2.8,5138204875.605628
2.85,5446908494.148146
2.9,5784864260.157468
2.95,6154869702.115107
3.0,6561675306.463449
3.05,7010389930.335048
3.1,7507163651.538372
3.15,8060112333.237915
3.2,8683413693.010914
3.25,9403994540.97443
3.3,10237805866.186714
3.35,11126203915.205822
3.4,12050804107.06043
3.45,13124546148.626068
3.5,14395213016.5504
3.55,15878959820.636162
3.6,17609033371.51621
3.65,19639052695.443344
3.7,22041436778.232628
3.75,24912481184.18843
3.8,28381855632.201046
3.85,32627473385.258804
3.9,37898020997.578064
3.95,44549158619.873146
4.0,53105934199.39299
4.05,64367768488.61913
4.1,79595256124.98964
4.15,100868371355.80801
4.2,131808288144.00789
4.25,179183876860.0051
4.3,258196599882.09418
4.35,429117423797.05695
4.4,1009984592626.2393
4.45,2918666734900.882
4.5,6408599795524.365
4.55,7571242513847.994
4.6,4317609879898.18
4.65,1599601620436.1594
4.7,589827870456.0742
4.75,313363707812.13
4.8,209000060776.80008
4.85,151001336453.76907
4.9,114237238142.04857
4.95,89504766571.9635
5.0,72157024905.13577
5.05,59681976265.846825
5.1,50654733005.871475
5.15,43811794820.30682
5.2,37848427091.59383
5.25,32873299555.334164
5.3,29059050778.224327
5.35,26120184319.812843
5.4,23755096325.573948
5.45,21781550259.54689
5.5,20169914276.278976
5.55,18885013770.53515
5.6,17905972872.255604
5.65,17134446302.874035
5.7,16579561859.112911
5.75,16231399899.586248
5.8,16089335021.769173
5.85,16163216480.998554
5.9,16477290019.943777
5.95,17069812724.856459
6.0,17976562736.620937
6.05,19246658871.994045
6.1,21022813067.12774
6.15,23500315736.929604
6.2,26953188848.720394
6.25,31812807691.421257
6.3,38780527160.91527
6.35,49146079291.207794
6.4,65421443704.10289
6.45,93636257730.79591
6.5,160826744863.8717
6.55,401033888354.95605
6.6,1125239797148.1648
6.65,2232639284480.0337
6.7,2260328262589.5244
6.75,1157916480822.328
6.8,411065228778.15063
6.85,160533707432.94934
6.9,90691191724.31464
6.95,61711040389.51576
7.0,45101566019.84511
7.05,34376782141.56484
7.1,27081425539.486336
7.15,21925684607.409534
7.2,18164806024.891235
7.25,15350374050.842043
7.3,13205063284.285118
7.35,11555028567.19791
7.4,10283069850.382782
7.45,9326032389.67523
7.5,8653652137.711065
7.55,8273575042.444531
7.6,8260752500.23002
7.65,8891182319.11566
7.7,11630398213.667477
7.75,22782456557.13638
7.8,52035269213.4811
7.85,83535730668.3082
7.9,66967335231.79931
7.95,31273309458.98581
8.0,12915226116.472956
8.05,7517609210.667792
8.1,5919905214.857748
8.15,5097549887.534349
8.2,4640471043.989458
8.25,4316651729.82996
8.3,4026983252.9822536
8.35,3832348041.6147013
8.4,3726196225.604557
8.45,3696510237.858935
8.5,3756988625.631716
8.55,4078388526.3967123
8.6,4416197202.658691
8.65,4736329322.305445
8.7,4920168886.806871
8.75,5251186425.747445
8.8,5861860533.44277
8.85,6794154870.792325
8.9,7533822658.901221
8.95,9586741015.19715
9.0,13947048569.299961
9.05,21536253981.183628
9.1,36446791656.66171
9.15,87690038289.13597
9.2,228201100788.04327
9.25,395915003962.65
9.3,336439463768.4795
9.35,155511273503.50363
9.4,55792271496.92494
9.45,25215942797.019836
9.5,16306169234.035446
9.55,12353781102.65537
9.6,10164129138.95514
9.65,8952945301.055584
9.7,8378061265.655705
9.75,8295566381.938817
9.8,8615653737.476429
9.85,9347885107.896093
9.9,10596143013.562494
9.95,12558685734.901342
10.0,15627943029.433573
10.05,20541748169.45801
10.1,29231573301.361767
10.15,51348519970.7984
10.2,131299916716.35812
10.25,356594028681.64417
10.3,657894555474.5358
10.35,605341997301.144
10.4,294335831077.6942
10.45,107476578320.01701
10.5,49068279316.8607
10.55,34703414073.951454
10.6,32556618787.716152
10.65,44022398404.80249
10.7,98258066692.44254
10.75,231493831140.7977
10.8,349845152057.92975
10.85,256399700553.8048
10.9,110122139439.0562
10.95,40719402591.80642
11.0,20441569962.455166
11.05,13792508728.966055
11.1,10368212725.705336
11.15,8220784407.5560255
11.2,6760466328.21969
11.25,5736368630.1547985
11.3,4995362644.089559
11.35,4456126545.217823
11.4,4079717485.4365134
11.45,3846205795.556905
11.5,3536357483.239791
11.55,3421803610.8192053
11.6,3447022543.20732
11.65,3687090482.3074174
11.7,3999279848.821724
11.75,4325996784.672836
11.8,5111440099.939681
11.85,7489309410.018103
11.9,16374838241.366863
11.95,41558588261.54967
12.0,75290263685.55608
12.05,69022080414.62375
12.1,34331058795.397068
12.15,13919907641.767841
12.2,7859978894.078816
12.25,6706562962.498244
12.3,6770210235.86805
12.35,7706110585.465266
12.4,10928323148.037828
12.45,23312572662.863674
12.5,60390039321.91511
12.55,115960029872.85004
12.6,117433933629.77298
12.65,62589382920.439186
12.7,25735648309.072716
12.75,14466070494.24556
12.8,14267432910.84472
12.85,24219932349.67509
12.9,60139773507.36602
12.95,125168711592.89674
13.0,145093266060.31924
13.05,84479702056.87663
13.1,34736793860.97667
13.15,17413047653.662716
13.2,16246585085.789396
13.25,29160744299.751987
13.3,72024986850.00444
13.35,135882746003.49254
13.4,134743326264.56085
13.45,69683438887.47028
13.5,26035069477.452343
13.55,11468561676.577936
13.6,7851515504.566208
13.65,6245702579.276274
13.7,4520730404.007609
13.75,3263660044.773252
13.8,2573390325.513369
13.85,2174541814.526235
13.9,1908593804.8560243
13.95,1726370728.543282
14.0,1629081714.1925583
14.05,1642569641.3892815
14.1,1638326586.7751126
14.15,1434282063.921234
14.2,1213975301.612509
14.25,1081805923.6452885
14.3,1052435612.1953752
14.35,1053766330.1154144
14.4,1136123297.5844502
14.45,1374918133.3189085
14.5,1583756915.6957295
14.55,1532273255.702555
14.6,1404834195.774396
14.65,1300481955.8100178
14.7,1280715627.9393487
14.75,1323533879.2278657
14.8,1366771332.171633
14.85,1476867682.8799198
14.9,1654906061.688102
14.95,1871962163.817329
15.0,2162082598.9783735
15.05,2560770448.39429
15.1,3108871170.8194246
15.15,3897168235.1528864
15.2,5101837453.518503
15.25,7131986525.2972355
15.3,11430340864.623173
15.35,21787760025.51316
15.4,47153443012.52832
15.45,106684714268.11969
15.5,202756619997.76575
15.55,220427027199.54526
15.6,124032300328.23798
15.65,52982929920.146164
15.7,37776840440.23789
15.75,42568294434.50255
15.8,31820133553.10554
15.85,15762024151.997698
15.9,7668156907.299351
15.95,4934131935.155319
16.0,3794080389.9753585
16.05,3145642136.0108213
16.1,2765021489.02907
16.15,2557644269.892274
16.2,2521867742.089701
16.25,2764947805.084637
16.3,3741913041.072406
16.35,6351271113.1260395
16.4,10665612698.195505
16.45,16000923972.80447
16.5,21363853496.40928
16.55,19604944378.23524
16.6,20998671056.63293
16.65,39952038501.74951
16.7,63695744399.40842
16.75,53226729234.07656
16.8,27341116410.673233
16.85,12425298113.94819
16.9,6298315324.067345
16.95,4028679863.3431416
17.0,3494459206.137858
17.05,4276799459.759529
17.1,6162155660.941031
17.15,7407448601.422122
17.2,9308065834.036776
17.25,18186898992.66917
17.3,32641763227.17081
17.35,32392217809.593964
17.4,17204721830.172012
17.45,6780991527.2591915
17.5,3121366995.2293563
17.55,2066746054.209553
17.6,1648378346.4480906
17.65,1420117569.256374
17.7,1296031882.6376421
17.75,1215189133.8437238
17.8,1147488561.3609111
17.85,1098341129.104905
17.9,1085426015.0393028
17.95,1143645198.1089883
18.0,1226090919.1342034
18.05,1336409550.11431
18.1,1471326483.3085988
18.15,1679137966.438032
18.2,2010211515.5908153
18.25,2470436658.3156333
18.3,3118523914.1554756
18.35,4204912543.613429
18.4,6488101865.809629
18.45,13890703764.516867
18.5,37994479060.34987
18.55,83666829067.34842
18.6,104601260770.85304
18.65,65472813216.27592
18.7,27169799296.56972
18.75,12364642008.86463
18.8,9746825763.751976
18.85,11405776364.229612
18.9,17770395590.217373
18.95,41098521057.36432
19.0,93587623493.71133
19.05,133722358839.56859
19.1,101609057746.93813
19.15,54125314661.38485
19.2,24700973537.433052
19.25,11192832034.509134
19.3,6066082602.742049
19.35,4113414409.7534213
19.4,3167131245.147524
19.45,2599228050.4706254
19.5,2186483601.4847026
19.55,1855082540.3857913
19.6,1636317756.790345
19.65,1515938359.3620844
19.7,1482896199.9478607
19.75,1641191696.3318763
19.8,2181780453.681555
19.85,2885139639.59062
19.9,2829724049.989919
19.95,2522976887.133174
20.0,2856316144.429806
20.05,4216663373.3254046
20.1,7928176612.142982
20.15,14699767287.39752
20.2,19500683005.08189
20.25,14433518901.657986
20.3,8707910734.163687
20.35,10462036759.827341
20.4,23631373513.557137
20.45,42794522033.714005
20.5,40483605356.271736
20.55,20631585598.080463
20.6,8233334321.466553
20.65,4353893383.112711
20.7,3548187111.23941
20.75,3368494486.3744564
20.8,3681657317.0093875
20.85,4991895402.455106
20.9,6169751401.271297
20.95,5824963217.702699
21.0,6051492696.4394865
21.05,8889980351.208685
21.1,20360524426.651104
