2theta,Intensity
0.0,7795415.821534051
0.05,11934245.897537915
0.1,16528178.468480486
0.15,20727885.362455323
0.2,23759753.775944475
0.25,27015259.591934197
0.3,30019128.45814356
0.35,33107774.46873985
0.4,35737269.489319645
0.45,38139845.795600496
0.5,40624735.28967733
0.55,43488294.47946617
0.6,47007787.07819831
0.65,50934237.694744036
0.7,54876639.478655644
0.75,58994870.10319411
0.8,63718610.682130106
0.85,68613577.12123385
0.9,73882526.99727252
0.95,79789846.67204991
1.0,86310883.507089
1.05,93680267.67416543
1.1,101965190.64417812
1.15,111291598.73221725
1.2,121776620.31052549
1.25,133870661.97955
1.3,147640085.51314428
1.35,163861584.01056886
1.4,182767814.13926828
1.45,205299301.43091312
1.5,231828521.48139298
1.55,263855703.3689558
1.6,303075651.87981755
1.65,353626056.04341334
1.7,418069083.69732106
1.75,502555514.07532954
1.8,618404012.2860192
1.85,785852006.8136249
1.9,1052571348.0601251
1.95,1621772854.07949
2.0,3374868679.172588
2.05,8070242838.679594
2.1,14768438478.647709
2.15,16209090684.738762
2.2,14301869839.269558
2.25,18471774500.032337
2.3,25335346847.61409
2.35,28890492257.60842
2.4,27859654350.049973
2.45,24533320647.086655
2.5,21607970986.800922
2.55,19738400638.56799
2.6,17678086299.179585
2.65,15310165546.48763
2.7,13717365285.278807
2.75,13572183255.48144
2.8,14829150211.322172
2.85,16564930544.124763
2.9,17414851505.389053
2.95,17508594694.3302
3.0,17668669175.17054
3.05,18025224670.5863
3.1,18187844799.464737
3.15,18527361974.617977
3.2,19309606977.94102
3.25,20476281061.91431
3.3,21939289863.297417
3.35,23436973457.34957
3.4,24964649362.765293
3.45,26701867114.867397
3.5,28750670201.12088
3.55,31271937279.452045
3.6,34401839808.66518
3.65,37771195105.18782
3.7,41118140430.27336
3.75,44464796047.67994
3.8,48769616117.22997
3.85,55221432648.77083
3.9,63463944737.86689
3.95,71461527573.50912
4.0,80283995679.66298
4.05,92603808204.35098
4.1,109932921720.94382
4.15,133312732187.69986
4.2,165236583094.337
4.25,211207042588.21677
4.3,287313890468.603
4.35,463947275018.3115
4.4,990632678937.8578
4.45,2281000694433.694
4.5,4136281294954.7305
4.55,5316156360283.682
4.6,5444444842800.879
4.65,5323285180232.948
4.7,5304453318922.515
4.75,4992968502916.07
4.8,4207528829986.637
4.85,3234871130024.164
4.9,2581431989008.8896
4.95,2282150400980.476
5.0,2001824943722.7642
5.05,1675070505022.5186
5.1,1380972941204.6243
5.15,1105898557394.454
5.2,861809893332.3508
5.25,671857817986.9829
5.3,540738877698.99506
5.35,455619324671.8882
5.4,400840626950.80066
5.45,350731289118.23694
5.5,309849022453.8644
5.55,285905153698.6892
5.6,276396501777.8001
5.65,279010676255.4493
5.7,278991800445.55035
5.75,265363087145.74377
5.8,237315766412.8048
5.85,208639457147.12906
5.9,179851153505.41736
5.95,151813317974.1806
6.0,130181377422.30438
6.05,116854176334.52823
6.1,110098562148.3698
6.15,106471391345.258
6.2,99767971185.63225
6.25,88897060932.10449
6.3,79681354820.02016
6.35,72492005397.1679
6.4,65431949678.316925
6.45,59925088346.16378
6.5,56969983910.56954
6.55,56991354081.016335
6.6,59929696288.49981
6.65,62261687804.5412
6.7,60881926873.40271
6.75,56233172900.32644
6.8,52223914390.64069
6.85,50817841388.71896
6.9,50904781621.6809
6.95,50903861539.75155
7.0,49013810878.09238
7.05,45206174403.05914
7.1,42588983358.27352
7.15,42362537421.55993
7.2,43013543775.42323
7.25,42902308986.572044
7.3,41961672518.954346
7.35,41546024379.727715
7.4,41351046961.87158
7.45,40479562967.77679
7.5,38660532960.83253
7.55,37795350257.97365
7.6,40909417142.46027
7.65,56046033533.240395
7.7,104131852189.94743
7.75,211493112285.56055
7.8,343952940579.2695
7.85,399576167307.6812
7.9,363682598787.91327
7.95,291497984875.75244
8.0,230449685070.7981
8.05,200846826947.92596
8.1,195450973484.2311
8.15,206521700738.2715
8.2,231497697059.9413
8.25,265306003977.3909
8.3,282346678047.43567
8.35,279240210750.5395
8.4,266623645826.0804
8.45,249655694236.28894
8.5,235425772595.26016
8.55,222415934795.61597
8.6,202314420446.30804
8.65,180669327501.01273
8.7,160665815504.12836
8.75,142411302109.5387
8.8,127783076533.03403
8.85,122220582757.10796
8.9,134302229688.44193
8.95,176242218791.41684
9.0,229006186437.36343
9.05,245177789935.81342
9.1,227899806463.17847
9.15,206785233238.3741
9.2,190135737029.13702
9.25,177647951149.25305
9.3,168021691610.45227
9.35,162756421408.8233
9.4,161669509932.84375
9.45,160532478058.47403
9.5,160506403013.82968
9.55,161797116322.73434
9.6,155483497216.2248
9.65,139062756267.8305
9.7,121840114499.75821
9.75,110302916101.48976
9.8,102566142753.07945
9.85,99680359368.42258
9.9,102250350884.24574
9.95,102974603831.6757
10.0,96195380016.34486
10.05,88847354083.44359
10.1,85316484030.9886
10.15,84537759997.11223
10.2,83389744662.86958
10.25,81823400676.10233
10.3,79819121496.53276
10.35,75917121016.09903
10.4,70517266207.56163
10.45,65762490140.0424
10.5,62020579376.412155
10.55,57221891057.66932
10.6,51137718164.92438
10.65,46131390906.2644
10.7,42571838378.016266
10.75,40361600191.42049
10.8,38415725247.146576
10.85,36467747051.753494
10.9,34854581079.39361
10.95,33586887052.43797
11.0,32921035969.825092
11.05,31675023489.260902
11.1,28716611874.575706
11.15,25467993127.43169
11.2,23334545137.467697
11.25,22528795479.56663
11.3,22256028228.37242
11.35,21547489958.924522
11.4,20687149399.331257
11.45,20178122950.678066
11.5,20056803725.360672
11.55,19975856222.936756
11.6,19930980711.76968
11.65,20473692087.390137
11.7,22035415445.429935
11.75,26185438953.950977
11.8,37538573494.328384
11.85,62445201790.84904
11.9,95033781029.16576
11.95,112675745993.51651
12.0,108283019496.20715
12.05,96898410346.99748
12.1,88216597561.10687
12.15,81843821534.27704
12.2,76569710887.77672
12.25,72966483440.79758
12.3,70323030431.46349
12.35,67523327247.8648
12.4,64520598292.12728
12.45,62922748475.40203
12.5,62846233272.34333
12.55,64498200820.729744
12.6,66910676692.567116
12.65,68116673634.62291
12.7,66881289562.0632
12.75,64602757708.797195
12.8,62672306731.2659
12.85,61524857137.61927
12.9,60641686300.24129
12.95,60145757028.990524
13.0,59732475919.72056
13.05,59014463807.67397
13.1,56748656997.90763
13.15,52962444399.114075
13.2,49529322038.04868
13.25,47100294077.95383
13.3,45317137821.173096
13.35,43021623409.94313
13.4,41264971647.59848
13.45,40775377838.18708
13.5,40113612137.25847
13.55,38086751296.700905
13.6,35547963177.63195
13.65,33698830187.939835
13.7,32440873507.510365
13.75,31735624112.475193
13.8,31199816724.198963
13.85,30421142608.33105
13.9,29412219713.00942
13.95,28272274605.20354
14.0,27478864911.63723
14.05,26989831321.68909
14.1,26252864511.97181
14.15,24984046604.96723
14.2,23633807635.009197
14.25,22433328796.56303
14.3,21492209435.338135
14.35,20821683376.0322
14.4,19963888104.507805
14.45,19037661205.45002
14.5,18609045384.5962
14.55,18375439437.875233
14.6,18191113506.9629
14.65,17801700090.81407
14.7,17315431216.415855
14.75,17162993315.787827
14.8,16977490801.904383
14.85,16400886854.061428
14.9,15705316135.535732
14.95,15073760099.548439
15.0,14559156290.21307
15.05,14151766818.84046
15.1,13703699149.93117
15.15,13148730609.257278
15.2,12801056528.21037
15.25,12625208394.687424
15.3,12453971664.615217
15.35,12381757001.3098
15.4,12395497913.91958
15.45,12809885777.095188
15.5,14508448170.86828
15.55,18005694212.51868
15.6,22227793424.8128
15.65,24819762649.138046
15.7,25067638485.320873
15.75,24162720952.86968
15.8,23015035397.20051
15.85,21869628042.09631
15.9,20797105177.404507
15.95,20058214090.027607
16.0,19486223920.417458
16.05,18963508316.035088
16.1,18517074342.277733
16.15,18305465246.354893
16.2,18402733723.218243
16.25,18705238954.26445
16.3,18812482672.13702
16.35,18426228284.79327
16.4,17624093421.6719
16.45,16993066658.844976
16.5,16720393343.675074
16.55,16392917263.2595
16.6,15875172169.50215
16.65,15506826158.628122
16.7,15471711695.796982
16.75,15556816686.244532
16.8,15588507927.674007
16.85,15508134842.284525
16.9,15290370654.285536
16.95,15102831032.807732
17.0,14885837607.057798
17.05,14677557050.837503
17.1,14558356898.832708
17.15,14283032139.596142
17.2,13838293507.120317
17.25,13545113265.302765
17.3,13636630981.702698
17.35,13957635550.284021
17.4,14085353253.33336
17.45,14024490141.644966
17.5,14079042944.556683
17.55,14052206902.119335
17.6,13774858055.657919
17.65,13562067115.490376
17.7,13513280391.307665
17.75,13433362944.805887
17.8,13306868918.163229
17.85,13403329617.714289
17.9,13779153022.0109
17.95,14358543156.1041
18.0,15113682657.076895
18.05,15756026358.308784
18.1,15919280871.541964
18.15,15542162487.196238
18.2,15019421971.721914
18.25,14721260326.449844
18.3,14489002375.290571
18.35,14221218138.036716
18.4,14004675979.700697
18.45,13930388504.244473
18.5,13822601922.188086
18.55,13509438873.529346
18.6,13209658060.243967
18.65,13084005800.176607
18.7,12955450122.319462
18.75,12856408192.583878
18.8,12886829191.617691
18.85,12945611510.710718
18.9,12996337514.729729
18.95,12957871785.35717
19.0,12832021585.979036
19.05,12778798179.481943
19.1,12920890764.585602
19.15,13166656190.06197
19.2,13307453879.451227
19.25,13467787604.374008
19.3,13746539632.853168
19.35,13927873195.169867
19.4,13831532147.301687
19.45,13580714280.997704
19.5,13329822102.286922
19.55,13341933679.028427
19.6,13708570090.694578
19.65,14259414813.2774
19.7,14618962022.03239
19.75,14639837162.278908
19.8,14494736741.711145
19.85,14396790152.43322
19.9,14488559172.259243
19.95,14758865219.361204
20.0,15104036039.195627
20.05,15394762646.228203
20.1,15433220213.652952
20.15,15376839813.409712
20.2,15510795345.68914
20.25,15724257648.198624
20.3,15810568569.646852
20.35,15746756876.59628
20.4,15694027537.38904
20.45,15897231783.047277
20.5,16274886174.213335
20.55,16873979297.27799
20.6,17887590317.87749
20.65,19410328784.135162
20.7,21024473184.864197
20.75,22021426449.93199
20.8,22311474643.56794
20.85,22373324246.4935
20.9,22150407598.908382
20.95,21554947721.14609
21.0,21131575107.799507
21.05,21209998934.12285
21.1,21459477203.830128
21.15,21502881500.391384
21.2,21361533472.59243
21.25,21408625811.747166
21.3,21747722705.746784
21.35,22172352979.679688
21.4,22515264549.77856
21.45,22750712080.211353
21.5,22938040491.489876
21.55,23264258750.956528
21.6,23668846953.475967
21.65,24214479271.198425
21.7,25095137724.457172
21.75,26002985802.684338
21.8,26480366875.79552
21.85,26639094754.502865
21.9,26830000186.23318
21.95,27088863659.941933
22.0,27371275059.956657
22.05,27596080894.56747
22.1,27783399725.60958
22.15,27957434455.139923
22.2,28079641126.4065
22.25,28540078653.15724
22.3,29691161865.81257
22.35,31356615482.164204
22.4,32757976462.895004
22.45,33390330078.572388
22.5,33793297650.207882
22.55,34275423913.773354
22.6,34881212676.513336
22.65,35498767918.21951
22.7,35843874972.36934
22.75,36290515124.6118
22.8,37382398032.39135
22.85,38757669609.18592
22.9,39811184197.901665
22.95,40081246185.124275
23.0,40029426127.369354
23.05,40380991196.32316
23.1,41852906073.94429
23.15,43888806111.89952
23.2,44724846986.96605
23.25,44590192165.4242
23.3,45084245992.88037
23.35,46643116631.55963
23.4,48519596611.31482
23.45,50484565341.46103
23.5,52404938199.02092
23.55,54125934593.02821
23.6,55459524066.82241
23.65,56062405825.55645
23.7,56400175198.646385
23.75,56712884783.5834
23.8,57749295408.92152
23.85,59481007486.929886
23.9,59739009604.48302
23.95,58937474456.78221
24.0,59026328380.03494
24.05,59869650804.45672
24.1,60383066416.21558
24.15,60947566585.02692
24.2,61825596259.536835
24.25,63115190112.9284
24.3,64145372356.97093
24.35,65204824075.63192
24.4,66532488634.18665
24.45,67290928679.3824
24.5,67693229427.52643
24.55,68174637784.74616
24.6,67919671406.783066
24.65,67552629100.33011
24.7,67315300148.73708
24.75,66891053915.68329
24.8,66389536747.69525
24.85,64988759946.86126
24.9,63022636270.183395
24.95,61525332170.28638
25.0,60927940997.529884
25.05,61834392719.984985
25.1,63874001848.5195
25.15,67239069884.09179
25.2,71247097493.59427
25.25,75240499515.98267
25.3,79738815718.1737
25.35,86254002856.52959
25.4,97283390395.90755
25.45,111258368821.50993
25.5,123500867008.84726
25.55,132565864798.90034
25.6,141490102763.1519
25.65,148273864083.4985
25.7,152251273681.0101
25.75,152703713691.4159
25.8,147068844319.97968
25.85,133455593638.15837
25.9,116610800472.49588
25.95,103636994467.2803
26.0,94028029862.75175
26.05,82177177423.44171
26.1,68968259806.1538
26.15,59963071590.8275
26.2,54792805041.94195
26.25,50279769521.027
26.3,46267606250.28504
26.35,43907091341.54023
26.4,42594524789.33228
26.45,41122698820.65566
26.5,39563403374.41799
26.55,38566301349.57572
26.6,37770096294.01745
26.65,36870317751.860374
26.7,35666677080.92889
26.75,34224537422.01926
26.8,32976425014.57388
26.85,31950830836.104485
26.9,31124844558.40033
26.95,30682218893.28717
27.0,30318923461.806965
27.05,29796029378.57057
27.1,29660755701.43878
27.15,30252450848.669373
27.2,31058730293.514446
27.25,31537596510.544765
27.3,31518484270.238598
27.35,30915586783.809044
27.4,30182566786.43804
27.45,30024709415.26378
27.5,29787369508.76454
27.55,29275323424.8239
27.6,28835746334.188797
27.65,28121171955.478218
27.7,27279508628.642967
27.75,26819176707.15916
27.8,26848786648.65828
27.85,26784209210.242035
27.9,26343600386.239628
27.95,25606755421.81988
28.0,24760037889.075565
28.05,23948401069.811726
28.1,23373832844.751858
28.15,22808465583.168476
28.2,22220670863.26438
28.25,21851408756.562935
28.3,21606763582.762474
28.35,21113926232.5137
28.4,20604716561.31679
28.45,20125285115.91477
28.5,19470494477.216534
28.55,18922157703.324516
28.6,18649347087.439575
28.65,18432702486.026005
28.7,18124362791.47759
28.75,17891153318.32297
28.8,17786203619.35106
28.85,17452016490.54222
28.9,17069625852.548851
28.95,16888915548.361015
29.0,16706881074.286573
29.05,16467596079.373426
29.1,16305430534.22654
29.15,16063286380.479834
29.2,15686586134.126339
29.25,15262061690.439602
29.3,14924543828.23576
29.35,14732119766.48441
29.4,14641984323.580935
29.45,14478624762.353552
29.5,14187997722.360487
29.55,13838103082.17628
29.6,13615103075.653902
29.65,13531124515.268087
29.7,13530684996.208487
29.75,13552139068.792253
29.8,13462616734.312675
29.85,13278518311.224169
29.9,13126495440.235096
29.95,13026324441.987299
30.0,12862530283.746925
30.05,12679834852.561396
30.1,12512168806.46049
30.15,12378880538.038404
30.2,12346275162.082909
30.25,12338208950.48205
30.3,12163032859.333748
30.35,11800660755.028086
30.4,11479348743.063593
30.45,11283151338.605
30.5,11137971279.274818
30.55,11032501077.669683
30.6,10954124949.607513
30.65,10959373994.99175
30.7,11086121473.34961
30.75,11218174634.677378
30.8,11169585678.820435
30.85,10970363987.13446
30.9,10746122163.165802
30.95,10551551868.051867
31.0,10350664880.792397
31.05,10170940498.017076
31.1,10037623791.01813
31.15,9923945976.488453
31.2,9769489158.002203
31.25,9609050300.846485
31.3,9512982336.241497
31.35,9448393551.864145
31.4,9403605667.994005
31.45,9357472824.306873
31.5,9302661416.280994
31.55,9285487284.5487
31.6,9353429832.215227
31.65,9553584290.338972
31.7,9954931653.087765
31.75,10571300710.418163
31.8,11312245011.037573
31.85,11982151580.154604
31.9,12353096106.657045
31.95,12348588584.05973
32.0,12136795798.719038
32.05,11828592917.966955
32.1,11503241247.405529
32.15,11215058721.808756
32.2,10973819788.081549
32.25,10765873790.102926
32.3,10547701431.522787
32.35,10359765402.701897
32.4,10207785806.595238
32.45,10051456839.048632
32.5,9818459664.318268
32.55,9559496750.248785
32.6,9334398669.26648
32.65,9185266031.179283
32.7,9122543287.784565
32.75,9095536929.174953
32.8,9092595268.623898
32.85,9118795063.772509
32.9,9158189086.736248
32.95,9160495094.449158
33.0,9161150475.059666
33.05,9167329108.745514
33.1,9130517415.25724
33.15,9024801252.240454
33.2,8876856626.125992
33.25,8724325586.458836
33.3,8644737839.263184
33.35,8606258292.45518
33.4,8497617630.233816
33.45,8353190594.02604
33.5,8266680561.696035
33.55,8197638893.896092
33.6,8133522615.952818
33.65,8044132827.349439
33.7,7884484042.45517
33.75,7671054195.005333
33.8,7497902247.524846
33.85,7396280236.720064
33.9,7348008847.350555
33.95,7311953304.431017
34.0,7286299888.652261
34.05,7273341974.967124
34.1,7248075291.386536
34.15,7227279454.853522
34.2,7257270931.203955
34.25,7382884015.382862
34.3,7654849187.153449
34.35,8023340321.330997
34.4,8330159187.277388
34.45,8495947266.517179
34.5,8552861449.01063
34.55,8510038468.679715
34.6,8360575055.427958
34.65,8145465250.813179
34.7,7918098824.814545
34.75,7679769432.473961
34.8,7476969530.796654
34.85,7341848154.13493
34.9,7222943335.193351
34.95,7102931569.655423
35.0,7025965598.7267685
35.05,6988212909.654291
35.1,6964950696.679616
35.15,6954746929.501888
35.2,6940638180.60293
35.25,6907655932.97879
35.3,6866101414.004834
35.35,6820706358.652629
35.4,6816561385.11718
35.45,6915125652.716753
35.5,7048757851.88159
35.55,7215362781.02107
35.6,7426075556.253567
35.65,7612889043.60207
35.7,7749900640.600689
35.75,7850881877.156783
35.8,7995056548.841556
35.85,8138196475.531705
35.9,8188594488.306338
35.95,8147372681.644582
36.0,8105467125.09586
36.05,8148214603.619447
36.1,8286077004.19527
36.15,8482611922.162401
36.2,8735080396.926296
36.25,8983856574.232162
36.3,9128905045.871195
36.35,9088360095.20908
36.4,8902713207.241772
36.45,8685322963.36836
36.5,8528604390.205835
36.55,8419915241.638743
36.6,8324189299.267863
36.65,8264606700.99465
36.7,8245355396.772468
36.75,8219529861.217727
36.8,8127570200.846674
36.85,7955760228.555683
36.9,7766280495.765063
36.95,7588000036.114209
37.0,7436851237.176327
37.05,7308952038.055189
37.1,7207816835.860318
37.15,7169433517.129635
37.2,7265807888.713894
37.25,7548151317.987394
37.3,7969098763.780624
37.35,8426190604.439827
37.4,8816249896.568966
37.45,9013074465.731424
37.5,8997102179.347546
37.55,8887025346.252764
37.6,8750678222.425917
37.65,8594909169.883236
37.7,8441196622.887709
37.75,8301580292.967736
37.8,8170234488.775782
37.85,8017619950.240601
37.9,7863674722.292868
37.95,7748842918.866705
38.0,7634676923.818133
38.05,7517130110.904474
38.1,7410960322.075388
38.15,7305156270.032975
38.2,7227376380.279652
38.25,7171406880.607849
38.3,7095240544.4250555
38.35,6986960807.508745
38.4,6862930104.449759
38.45,6752493501.506203
38.5,6649817188.567339
38.55,6560894228.847106
38.6,6473021598.9734955
38.65,6361455869.8811245
38.7,6276793384.480814
38.75,6269338709.21284
38.8,6338781605.631297
38.85,6445279904.620029
38.9,6561491332.854913
38.95,6711028659.426534
39.0,6926754075.285476
39.05,7179301286.3119955
39.1,7394048110.346254
39.15,7524237932.530252
39.2,7560143609.1219635
39.25,7483436755.752879
39.3,7320963612.260426
39.35,7125310557.779715
39.4,6940195687.578573
39.45,6828661108.801249
39.5,6787788660.124143
39.55,6784020253.253968
39.6,6828532943.683932
39.65,6916773148.874835
39.7,7021407130.443963
39.75,7115786948.739634
39.8,7188960753.439435
39.85,7239399947.334848
39.9,7270637888.006193
39.95,7266287049.827783
40.0,7243827896.081752
40.05,7226025428.166011
40.1,7195353123.406949
40.15,7152753736.66021
40.2,7125237085.187822
40.25,7100260082.0042
40.3,7084563696.823494
40.35,7115971217.8033905
40.4,7200309429.069851
40.45,7291407292.098022
40.5,7399388377.6781845
40.55,7559992898.584519
40.6,7766219573.033798
40.65,7970290141.086391
40.7,8109531614.49679
40.75,8168113053.825831
40.8,8142428093.515438
40.85,8035894391.398398
40.9,7859764991.329547
40.95,7668235708.581286
41.0,7512049052.99336
41.05,7428802387.733674
41.1,7406805767.432796
41.15,7462250083.420417
41.2,7638396930.853795
41.25,7914551696.523008
41.3,8199631860.483275
41.35,8427076079.717347
41.4,8561939434.181783
41.45,8613406768.392504
41.5,8609343139.176659
41.55,8554036184.3009815
41.6,8446219892.93697
41.65,8322773860.767703
41.7,8250859831.205247
41.75,8298323015.111849
41.8,8518233321.597718
41.85,9009285187.164392
41.9,9864484695.003555
41.95,11120759886.731522
42.0,12603714165.225134
42.05,13973567119.51187
42.1,15001868392.162722
42.15,15554154599.063593
42.2,15446411690.13417
42.25,14793066072.23698
42.3,14028364817.360004
42.35,13400820975.149815
42.4,12878353832.850138
42.45,12435962300.252104
42.5,12087099368.359184
42.55,11774295906.30137
42.6,11558254739.270164
42.65,11441423953.792463
42.7,11304352815.439856
42.75,11185893974.231283
42.8,11164426330.095013
42.85,11217507397.358042
42.9,11319740186.882662
42.95,11407744197.118336
43.0,11411770881.875494
43.05,11295163873.735178
43.1,11078110203.997894
43.15,10814470875.262907
43.2,10510724637.789867
43.25,10225765290.704138
43.3,9991868040.843786
43.35,9795835330.232824
43.4,9646869109.92928
43.45,9584114482.824223
43.5,9650667210.434914
43.55,9819464089.823006
43.6,10071750103.98272
43.65,10497806117.662266
43.7,11109344829.05289
43.75,11777075147.88285
43.8,12433713791.7772
43.85,13010712907.77969
43.9,13433815262.359001
43.95,13667954012.803793
44.0,13670923092.429543
44.05,13507320548.702421
44.1,13174013714.509647
44.15,12759335313.903215
44.2,12385464395.543524
44.25,12028328056.367687
44.3,11714897271.15933
44.35,11501386628.425064
44.4,11378290651.4165
44.45,11279349294.724203
44.5,11164228093.1213
44.55,11021771129.329918
44.6,10836706605.068419
44.65,10660137091.448242
44.7,10550431243.893444
44.75,10571893623.77869
44.8,10654619009.395226
44.85,10698243522.314684
44.9,10676113946.349213
44.95,10603090013.780848
45.0,10530300586.353216
45.05,10463579519.150892
45.1,10386380482.720926
45.15,10360222186.731922
45.2,10442765133.608215
45.25,10599872662.36665
45.3,10805943980.60678
45.35,11006435108.404707
45.4,11132810449.16385
45.45,11155458249.85288
45.5,11053905205.376059
45.55,10841850292.35282
45.6,10571838130.009653
45.65,10295343997.988346
45.7,10048597048.749155
45.75,9869186164.707695
45.8,9755099112.410847
45.85,9697135836.669716
45.9,9622610943.0759
45.95,9587139795.354076
46.0,9619912546.273884
46.05,9687046830.11466
46.1,9739596391.134853
46.15,9755507908.375956
46.2,9715232525.33976
46.25,9649563525.10796
46.3,9564942969.68561
46.35,9430285570.080486
46.4,9275232244.829641
46.45,9127296807.520927
46.5,9019451946.158268
46.55,8945306761.033998
46.6,8886985859.080101
46.65,8843921945.211853
46.7,8805411018.155783
46.75,8752930337.738783
46.8,8696233268.51229
46.85,8628941080.185686
46.9,8577056089.218025
46.95,8553509400.4410515
47.0,8543208091.587071
47.05,8519065380.133352
47.1,8482272114.666948
47.15,8438230748.46389
47.2,8403475448.124087
47.25,8381322319.421117
47.3,8342935755.577859
47.35,8289201617.70067
47.4,8247260313.062108
47.45,8202413038.885559
47.5,8167255050.70873
47.55,8139126998.073509
47.6,8100598247.017208
47.65,8057563861.915904
47.7,8042672503.686944
47.75,8044212762.083869
